Polling firm,Last date of polling[1],Link,Stephen Harper,Thomas Mulcair,Justin Trudeau,Elizabeth May,Margin of error[1]
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Margin of error[1]
Nanos Research,"March 28, 2014",[498],30.0,18.0,29.0,6,±3.1 pp
Nanos Research,"March 21, 2014",[499],29.0,18.0,31.0,5,±3.1 pp
Nanos Research,"March 14, 2014",[500],27.0,17.0,32.0,6,±3.1 pp
Angus Reid,"March 9, 2014",[220],23.0,17.0,24.0,4,±1.2 pp
Nanos Research,"March 7, 2014",[501],26.0,18.0,31.0,6,±3.1 pp
Nanos Research,"February 28, 2014",[502],25.0,19.0,32.0,5,±3.1 pp
Nanos Research,"February 21, 2014",[503],28.0,19.0,29.0,5,±3.1 pp
Forum Research,"February 19, 2014",[222],26.0,16.0,33.0,8,±2 pp
Angus Reid,"February 16, 2014",[224],32.0,22.0,36.0,9,±2.5 pp
Nanos Research,"February 14, 2014",[504],28.0,19.0,30.0,4,±3.1 pp
Nanos Research,"February 7, 2014",[505],28.0,19.0,29.0,4,±3.1 pp
Ipsos Reid,"February 4, 2014",[506],34.0,24.0,42.0,–,±3.5 pp
Nanos Research,"January 31, 2014",[507],29.0,19.0,29.0,4,±3.1 pp
Forum Research,"January 25, 2014",[228],24.0,18.0,29.0,7,±3 pp
Nanos Research,"January 24, 2014",[508],27.0,21.0,29.0,4,±3.1 pp
Forum Research,"January 17, 2014",[230],25.0,19.0,29.0,7,±2 pp
Nanos Research,"January 17, 2014",[509],28.0,21.0,27.0,4,±3.1 pp
Nanos Research,"January 10, 2014",[510],27.0,20.0,29.0,4,±3.1 pp
Nanos Research,"January 3, 2014",[511],27.0,19.0,29.0,5,±3.1 pp
Nanos Research,"December 27, 2013",[512],27.0,18.0,29.0,5,±3.1 pp
Nanos Research,"December 20, 2013",[513],26.0,18.0,30.0,5,±3.1 pp
