Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,UKIP,SNP,Grn,BNP,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Others,Lead
16–17 Jul,YouGov[210],The Sunday Times,1956,25%,42%,18%,6%,3%[a],4%,2%,1% Rsp on 0% Other on 1%,17
15–16 Jul,ComRes,The Independent on Sunday,1010,23%,38%,22%,–,–,–,–,16%,15
10–11 Jul,ICM,The Guardian,1000,27%,41%,20%,3%,2%,4%,2%,2% PC on 1% Other on 1%,14
1–3 Jul,YouGov,Fabian Society,2001,26%,39%,19%,6%,3%[a],4%,3%,1% Rsp on 0% Other on 1%,13
26–28 Jun,ComRes,The Independent,1007,25%,36%,19%,6%,4%,7%,1%,2% PC on 1% Other on 1%,11
24–26 Jun,YouGov,The People,2017,24%,40%,17%,6%,3%[a],3%,4%,2% Rsp on 0% Other on 2%,16
23–25 Jun,YouGov,The Daily Telegraph,2233,25%,38%,18%,7%,3%[a],4%,3%,1% Rsp on 0% Other on 1%,13
19–21 Jun,Ipsos MORI[211],,1004,21%,38%,19%,8%,3%[a],5%,5%,2%,17
17–18 Jun,ComRes,The Independent on Sunday,1012,22%,39%,18%,–,–,–,–,21%,17
10–17 Jun,Harris Interactive[permanent dead link],The Metro,2081,20%,35%,16%,–,–,–,–,29%,15
12–14 Jun,Ipsos MORI[212],UNISON,1252,25%,39%,19%,6%,3%[a],4%,2%,2%,14
12–14 Jun,ICM[213],The Guardian,1006,27%,39%,18%,6%,3%,4%,1%,2% PC on 1% Other on 1%,12
11–12 Jun,YouGov,The Sunday Times,1902,24%,40%,18%,8%,4%[a],4%,3%,1% Rsp on 0% Other on 1%,16
9–10 Jun,Populus,The Times,1001,24%,36%,19%,7%,2%,5%,2%,4% PC on 2% Other on 2%,12
5–7 Jun,ComRes,The Independent,1001,22%,38%,20%,–,–,,–,20%,16
4 Jun,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election,Local elections in England; European Parliament election
2–3 Jun,YouGov,The Daily Telegraph,4014,21%,37%,19%,8%,4%[a],5%,4%,3% Rsp on 0% Other on 3%,16
29–31 May,ComRes,The Independent,1005,22%,30%,18%,7%,2%,8%,3%,10% PC on 1% Other on 9%,8
29–31 May,Ipsos MORI[214],,1001,18%,40%,18%,7%,–,6%,4%,7%,22
27–29 May,YouGov,The Daily Telegraph,5016,22%,39%,18%,7%,3%[a],4%,5%,2% Rsp on 0% Other on 2%,17
27–28 May,ICM,The Sunday Telegraph,1013,22%,40%,25%,4%,2%,3%,–,4% PC on 1% Other on 3%,15
27–28 May,Populus[215],The Times,1001,21%,41%,15%,8%,3%,5%,4%,3% PC on 1% Other on 2%,20
19–20 May,Populus[216],ITV News,1000,27%,39%,17%,6%,4%,2%,4%,3% PC on 1% Other on 2%,12
15–17 May,ICM[217],The Guardian,1002,28%,39%,20%,5%,3%,3%,4%,<1% PC on <1%,11
14–16 May,YouGov[218],The Daily Telegraph,2235,23%,39%,19%,6%,4%[a],4%,4%,1% Rsp on 0% Other on 1%,16
13–14 May,ComRes[219],The Independent on Sunday,1010,21%,40%,18%,–,–,–,–,21%,19
13–14 May,YouGov[220],The Sun,1814,22%,41%,19%,6%,4%[a],3%,4%,1% Rsp on 0% Other on 1%,19
8–10 May,Populus[221],The Times,1504,26%,39%,22%,3%,3%,2%,3%,2% PC on 1% Other on 1%,13
8–9 May,BPIX[222],Mail on Sunday,Unknown[222],23%,45%,17%,–,–,–,–,15%,22
7–8 May,YouGov[223],The Sunday Times,2209,27%,43%,18%,3%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,16
24–26 Apr,ComRes[224],The Independent,1003,26%,45%,17%,<1%,3%,2%,2%,4% PC on 1% Other on 3%,19
23–24 Apr,YouGov[225],Sunday People,1855,27%,45%,17%,–,–,–,–,12%,18
22–23 Apr,YouGov[226],The Daily Telegraph,1896,27%,45%,18%,–,–,–,–,10%,18
17–19 Apr,Ipsos MORI[227],,1011,28%,41%,22%,1%,3%[a],2%,1%,2%,13
17–19 Apr,ICM[228],The Guardian,1005,30%,40%,19%,2%,3%,3%,–,3% PC on 1% Other on 2%,10
15–16 Apr,Marketing Sciences[229],The Sunday Telegraph,1007,26%,43%,21%,–,–,–,–,10%,17
3–5 Apr,Populus[230],The Times,1512,30%,43%,18%,2%,3%,1%,2%,2% PC on 1% Other on 1%,13
3–4 Apr,YouGov[231],The Sunday Times,2125,34%,41%,16%,–,–,–,–,10%,7
27–29 Mar,ComRes[232],The Independent,1002,28%,40%,18%,–,–,–,–,14%,12
25–26 Mar,ICM[233],The Sunday Telegraph,1003,31%,44%,18%,1%,3%,1%,–,3% PC on 1% Other on 2%,13
24–26 Mar,YouGov[234],The Daily Telegraph,2104,31%,41%,17%,–,–,–,–,11%,10
18–19 Mar,ComRes[235],The Independent on Sunday,1002,30%,41%,17%,2%,3%,3%,1%,3% PC on <1% Other on 3%,11
13–15 Mar,ICM[236],The Guardian,1004,30%,42%,20%,<1%,3%,3%,–,8%,12
13–15 Mar,Ipsos MORI[237],,1007,32%,42%,14%,1%,4%[a],3%,–,4%,10
12–13 Mar,YouGov[238],The Sunday Times,1840,31%,41%,17%,–,–,–,–,11%,10
6–8 Mar,Populus[239],The Times,1504,30%,42%,19%,1%,4%,3%,1%,2% PC on 1% Other on 1%,12
27 Feb – 1 Mar,ComRes[240],The Independent,1006,28%,44%,17%,1%,3%,2%,2%,4% PC on 1% Other on 3%,16
24–26 Feb,YouGov[241],The Daily Telegraph,2063,31%,41%,15%,2%,4%[a],2%,4%,2% Rsp on 0% Other on 1%,10
