Date,Firm,Primary vote,Primary vote,Primary vote,Primary vote,TPP vote,TPP vote,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,L/NP*,Labor,Green,Other,Labor,L/NP,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
,,,,,,,,,,,,
18–20 Oct 2012,Nielsen[36],43%,34%,11%,12%,48%,52%,,,,,
10–14 Oct 2012,Essential[e 45],47%,36%,9%,8%,47%,53%,,,,,
5–7 Oct 2012,Newspoll,45%,33%,10%,12%,46%,54%,,,,,
3–7 Oct 2012,Essential[e 46],47%,37%,9%,7%,47%,53%,,,,,
29–30 Sep/6–7 Oct 2012,Morgan (face),43%,37%,10.5%,9.5%,49%,51%,,,,,
26–30 Sep 2012,Essential[e 47],47%,36%,9%,7%,47%,53%,,,,,
22–23 Sep 2012,Morgan (face),41.5%,37.5%,10%,11%,50%,50%,,,,,
19–23 Sep 2012,Essential[e 48],48%,35%,9%,9%,45%,55%,,,,,
17–20 Sep 2012,Morgan (phone),47%,39.5%,8%,5.5%,47.5%,52.5%,,,,,
14–16 Sep 2012,Newspoll,41%,36%,12%,11%,50%,50%,,,,,
12–16 Sep 2012,Essential[e 49],48%,34%,9%,9%,45%,55%,,,,,
8–9/15–16 Sep 2012,Morgan (face),40.5%,35%,12%,12.5%,49.5%,50.5%,,,,,
13–15 Sep 2012,Nielsen[36],45%,34%,10%,11%,47%,53%,,,,,
29 Aug–2 Sep 2012,Essential[e 50],48%,34%,9%,9%,45%,55%,,,,,
31 Aug–2 Sep 2012,Newspoll,46%,33%,8%,13%,45%,55%,,,,,
1–2 Sep 2012,Morgan (face),41.5%,34.5%,11.5%,12.5%,48.5%,51.5%,,,,,
22–26 Aug 2012,Essential[e 51],49%,32%,10%,9%,44%,56%,,,,,
23–25 Aug 2012,Nielsen[36],45%,32%,11%,13%,46%,54%,,,,,
15–19 Aug 2012,Essential[e 52],49%,32%,10%,9%,43%,57%,,,,,
17–19 Aug 2012,Newspoll,45%,35%,11%,9%,47%,53%,,,,,
11–12/18–19 Aug 2012,Morgan (face),44%,34.5%,10%,11.5%,47%,53%,,,,,
8–12 Aug 2012,Essential[e 53],49%,32%,10%,8%,44%,56%,,,,,
3–5 Aug 2012,Newspoll,45%,33%,10%,12%,46%,54%,,,,,
1–5 Aug 2012,Essential[e 54],49%,33%,10%,8%,44%,56%,,,,,
28–29 Jul/4–5 Aug 2012,Morgan (face),43.5%,32%,11.5%,13%,46.5%,53.5%,,,,,
25–29 Jul 2012,Essential[e 55],49%,33%,10%,8%,45%,55%,,,,,
26–28 Jul 2012,Nielsen[36],47%,30%,12%,11%,44%,56%,,,,,
20–22 Jul 2012,Newspoll,46%,28%,11%,15%,44%,56%,,,,,
18–22 Jul 2012,Essential[e 56],49%,33%,10%,9%,44%,56%,,,,,
14–15/21–22 Jul 2012,Morgan (face),43%,31.5%,12%,13.5%,46%,54%,,,,,
11–15 Jul 2012,Essential[e 57],49%,31%,10%,9%,43%,57%,,,,,
6–8 Jul 2012,Newspoll,48%,31%,11%,10%,44%,56%,,,,,
4–8 Jul 2012,Essential[e 58],49%,31%,11%,9%,44%,56%,,,,,
30 Jun–1/7–8 Jul 2012,Morgan (face),43%,29.5%,14.5%,13%,46%,54%,,,,,
27 Jun–1 Jul 2012,Essential[e 59],49%,32%,10%,9%,44%,56%,,,,,
22–24 Jun 2012,Newspoll,46%,30%,12%,12%,45%,55%,,,,,
20–24 Jun 2012,Essential[e 60],49%,33%,10%,8%,44%,56%,,,,,
16–17/23–24 Jun 2012,Morgan (face),43%,29.5%,14.5%,13%,46%,54%,,,,,
13–17 Jun 2012,Essential[e 61],49%,33%,10%,8%,44%,56%,,,,,
15–17 Jun 2012,Galaxy[35],49%,31%,12%,8%,44%,56%,,,,,
6–11 Jun 2012,Essential[e 62],49%,32%,10%,9%,44%,56%,,,,,
9–10 Jun 2012,Morgan (face),42.5%,33%,12.5%,12%,48%,52%,,,,,
7–10 Jun 2012,Newspoll,44%,31%,14%,11%,46%,54%,,,,,
2–3 Jun 2012,Morgan (face),45%,32.5%,10.5%,12%,44.5%,55.5%,,,,,
31 May–2 Jun 2012,Nielsen[37],48%,26%,14%,12%,43%,57%,,,,,
30 May–3 Jun 2012,Essential[e 63],50%,33%,10%,7%,44%,56%,,,,,
26–27 May 2012,Morgan (face),49%,27.5%,13%,10.5%,42%,58%,,,,,
23–27 May 2012,Essential[e 64],50%,33%,10%,7%,43%,57%,,,,,
25–27 May 2012,Newspoll,46%,32%,12%,10%,46%,54%,,,,,
16–20 May 2012,Essential[e 65],49%,33%,10%,8%,44%,56%,,,,,
19–20 May 2012,Morgan (face),45.5%,32%,10.5%,12%,45%,55%,,,,,
12–13 May 2012,Morgan (face),46%,30.5%,12%,11.5%,44.5%,55.5%,,,,,
11–13 May 2012,Newspoll,45%,30%,12%,13%,45%,55%,,,,,
9–13 May 2012,Essential[e 66],50%,30%,11%,9%,43%,57%,,,,,
9–10 May 2012,Nielsen[37],49%,28%,12%,12%,42%,58%,,,,,
9–10 May 2012,Morgan (phone),50.5%,29%,10%,10.5%,42%,58%,,,,,
5–6 May 2012,Morgan (face),45.5%,29.5%,12%,13%,44.5%,55.5%,,,,,
2–6 May 2012,Essential[e 67],50%,29%,11%,9%,42%,58%,,,,,
27–29 Apr 2012,Newspoll,51%,27%,11%,11%,41%,59%,,,,,
27–29 Apr 2012,Galaxy[35],49%,30%,13%,8%,44%,56%,,,,,
25–29 Apr 2012,Essential[e 68],50%,31%,11%,9%,43%,57%,,,,,
21–22 Apr 2012,Morgan (face),47.5%,30%,12%,10.5%,44%,56%,,,,,
18–22 Apr 2012,Essential[e 69],49%,31%,11%,9%,44%,56%,,,,,
17–19 Apr 2012,Morgan (phone),47.5%,30%,11.5%,11.5%,44%,56%,,,,,
13–15 Apr 2012,Newspoll,48%,29%,12%,11%,44%,56%,,,,,
11–15 Apr 2012,Essential[e 70],48%,31%,11%,9%,44%,56%,,,,,
7–8/14–15 Apr 2012,Morgan (face),46.5%,31%,12.5%,10%,45%,55%,,,,,
4–9 Apr 2012,Essential[e 71],50%,31%,11%,9%,43%,57%,,,,,
31 Mar–1 Apr 2012,Morgan (face),45.5%,32%,13%,10.5%,46.5%,53.5%,,,,,
28 Mar–1 Apr 2012,Essential[e 72],48%,33%,11%,8%,45%,55%,,,,,
29–31 Mar 2012,Nielsen[37],47%,27%,13%,12%,43%,57%,,,,,
21–25 Mar 2012,Essential[e 73],47%,34%,10%,9%,46%,54%,,,,,
24–25 Mar 2012,Morgan (face),45%,36.5%,12.5%,6%,48.5%,51.5%,,,,,
23–25 Mar 2012,Newspoll,47%,28%,11%,14%,43%,57%,,,,,
14–18 Mar 2012,Essential[e 74],48%,32%,11%,9%,46%,54%,,,,,
10–11/17–18 Mar 2012,Morgan (face),45.5%,37%,10.5%,7%,48%,52%,,,,,
9–11 Mar 2012,Newspoll,43%,31%,12%,14%,47%,53%,,,,,
7–11 Mar 2012,Essential[e 75],49%,31%,10%,9%,43%,57%,,,,,
3–4 Mar 2012,Morgan (face),43.5%,39%,10%,7.5%,50%,50%,,,,,
29 Feb–4 Mar 2012,Essential[e 76],49%,32%,10%,9%,44%,56%,,,,,
25–26 Feb 2012,Morgan (face),42.5%,37.5%,11%,9%,50%,50%,,,,,
23–26 Feb 2012,Newspoll,45%,35%,11%,9%,47%,53%,,,,,
22–26 Feb 2012,Essential[e 77],49%,32%,11%,8%,44%,56%,,,,,
23–24 Feb 2012,Galaxy[38],47%,34%,12%,7%,46%,54%,,,,,
22–23 Feb 2012,Nielsen[37],44%,34%,12%,11%,47%,53%,,,,,
15–19 Feb 2012,Essential[e 78],48%,33%,11%,9%,45%,55%,,,,,
