Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,UKIP,SNP,Grn,BNP,Others,Lead
28–29 Apr,YouGov[20],The Sun,1623,27%,34%,28%,4%,2%[a],1%,3%,1% Rsp on 0% Other on 1%,6
27–28 Apr,YouGov[21],The Sun,1530,27%,34%,31%,3%,2%[a],1%,1%,1% Rsp on 0% Other on 1%,3
26–27 Apr,YouGov[permanent dead link],The Sun,1598,29%,33%,28%,–,–,–,–,10%,4
26–27 Apr,ComRes[22],ITV News/The Independent,1006,29%,36%,26%,–,–,–,–,9%,7
26–27 Apr,Populus[23],The Times,1510,27%,36%,28%,3%,2%,2%,1%,1% PC on <1% Other on <1%,8
21–27 Apr,TNS-BMRB[24],,2078,27%,34%,30%,2%,2%,2%,2%,2% PC on 1% Other on 1%,4
25–26 Apr,YouGov[25],The Sun,1491,28%,33%,29%,3%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,4
25–26 Apr,ComRes[26],ITV News/The Independent,1005,29%,33%,29%,3%,1%,2%,1%,1% PC on <1% Other on 1%,4
23–26 Apr,Opinium[permanent dead link],Daily Express,1942,25%,34%,28%,–,–,–,–,13%,6
23–26 Apr,Angus Reid Public Opinion[27],The Economist,2433,23%,33%,30%,5%,1%,2%,2%,4% PC on 1% Other on 3%,3
20–26 Apr,Harris Interactive[28],The Metro,1678,25%,32%,30%,–,–,–,–,13%,2
24–25 Apr,YouGov[29],The Sun,1466,28%,34%,30%,3%,2%[a],1%,2%,1% Rsp on 0% Other on 1%,4
24–25 Apr,ComRes[30],ITV News/The Independent,1003,28%,32%,31%,–,–,–,–,9%,1
23–25 Apr,ICM[31],The Guardian,1031,28%,33%,30%,2%,3%,1%,2%,1% PC on <1% Other on 1%,3
23–24 Apr,YouGov[32],The Sunday Times,1412,27%,35%,28%,4%,2%[a],1%,2%,1% Rsp on 0% Other on 1%,7
23–24 Apr,ComRes[33],Sunday Mirror/The Independent on Sunday,1006,28%,34%,29%,3%,2%,1%,2%,1% PC on 1% Other on <1%,5
23 Apr,ICM[permanent dead link],The Sunday Telegraph,1020,26%,35%,31%,–,–,–,–,8%,4
23 Apr,Ipsos MORI[34],News of the World,1245,30%,36%,23%,–,–,–,–,11%,6
22–23 Apr,YouGov[35],The Sun,1381,29%,34%,29%,3%,2%[a],1%,1%,1% Rsp on 0% Other on 1%,5
21–22 Apr,YouGov[permanent dead link],The Sun,1576,29%,34%,28%,–,–,–,–,9%,5
20–21 Apr,YouGov[36],The Sun,1545,27%,33%,31%,3%,2%[a],1%,2%,9%,2
19–20 Apr,YouGov[permanent dead link],The Sun,1595,26%,31%,34%,–,–,–,–,9%,3
19–20 Apr,Angus Reid Public Opinion[37],PoliticalBetting.com,1953,23%,32%,33%,4%,2%,2%,3%,1% PC on 1% Other on 0%,1
19–20 Apr,ComRes[38],ITV News/The Independent,1015,25%,35%,27%,2%,3%,1%,2%,5% PC on <1% Other on 5%,8
19–20 Apr,Populus[permanent dead link],The Times,1501,28%,32%,31%,–,–,–,–,9%,1
18–20 Apr,Ipsos MORI[39],Evening Standard,1253,28%,32%,32%,–,–,–,–,8%,Tie
14–20 Apr,TNS-BMRB[40],,1953,29%,34%,30%,2%,2%,1%,1%,1% PC on <1% Other on <1%,4
18–19 Apr,ComRes[41],ITV News/The Independent,1012,26%,35%,26%,1%,2%,1%,2%,7% PC on <1% Other on 7%,9
18–19 Apr,YouGov[42],The Sun,1509,27%,33%,31%,2%,2%[a],1%,2%,0% Rsp on 0% Other on 0%,2
16–19 Apr,Opinium[permanent dead link],Daily Express,1957,26%,32%,29%,–,–,–,–,13%,3
16–19 Apr,Angus Reid Public Opinion[43],PoliticalBetting.com,2004,24%,32%,32%,4%,2%,2%,2%,2% PC on 1% Other on 1%,Tie
14–19 Apr,Harris Interactive[permanent dead link],The Metro,1792,26%,31%,30%,–,–,–,–,13%,1
17–18 Apr,ComRes[44],ITV News/The Independent,1003,28%,32%,28%,1%,1%,1%,1%,8% PC on <1% Other on 8%,4
17–18 Apr,YouGov[45],The Sun,1433,26%,32%,33%,3%,2%[a],1%,2%,1% Rsp on 0% Other on 1%,1
16–18 Apr,ICM[46],The Guardian,1024,28%,33%,30%,2%,2%,1%,1%,3% PC on 2% Other on 1%,3
16–17 Apr,YouGov[permanent dead link],The Sunday Times,1490,30%,33%,29%,–,–,–,–,8%,3
16–17 Apr,ComRes[47],Sunday Mirror/The Independent on Sunday,1006,27%,31%,29%,1%,1%,<1%,1%,9% PC on 1% Other on 8%,2
15–16 Apr,YouGov[permanent dead link],The Sun,1290,28%,33%,30%,–,–,–,–,9%,3
15 Apr,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held,The first ever televised Prime Ministerial debate is held
15 Apr,ComRes[48],ITV News,4032,28%,35%,24%,–,–,–,–,13%,7
14–15 Apr,ICM[49],The Sunday Telegraph,1033,29%,34%,27%,3%,2%,2%,1%,2% PC on 1% Other on 1%,5
14–15 Apr,YouGov[50],The Sun,1490,31%,37%,22%,4%,2%[a],1%,2%,1% Rsp on 0% Other on 1%,6
13–14 Apr,YouGov[51],The Sun,1578,32%,41%,18%,4%,2%[a],1%,2%,0% Rsp on 0% Other on 0%,9
12–13 Apr,ComRes[52],ITV News/The Independent,1001,29%,35%,21%,2%,1%,2%,1%,8% PC on <1% Other on 8%,6
12–13 Apr,YouGov[53],The Sun,1583,31%,39%,20%,4%,2%[a],1%,2%,1% Rsp on 0% Other on 1%,8
8–13 Apr,Harris Interactive[permanent dead link],The Metro,1523,27%,36%,23%,–,–,–,–,14%,9
7–13 Apr,TNS-BMRB[permanent dead link],,1916,33%,36%,22%,–,–,–,–,9%,3
12 Apr,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign
12 Apr,Populus[54],The Times,1525,33%,36%,21%,3%,1%,2%,3%,1%  PC on <1% Other on 1%,3
11–12 Apr,ComRes[55],ITV News/The Independent,1002,31%,36%,19%,–,–,–,–,14%,5
11–12 Apr,Angus Reid Public Opinion[56],PoliticalBetting.com,2006,28%,38%,22%,5%,2%,2%,3%,2%  PC on 1% Other on 1%,10
11–12 Apr,YouGov[57],The Sun,1493,33%,39%,20%,2%,3%[a],1%,2%,0% Rsp on 0% Other on 0%,6
9–12 Apr,Opinium[permanent dead link],Daily Express,1825,31%,39%,17%,–,–,–,–,13%,8
10–11 Apr,ComRes[58],ITV News/The Independent,1004,30%,37%,20%,–,–,–,–,13%,7
10–11 Apr,YouGov[59],The Sun,1455,31%,37%,20%,4%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,6
9–11 Apr,ICM[60],The Guardian,1024,31%,37%,20%,3%,3%,2%,2%,3% PC on 1% Other on 2%,6
9–10 Apr,YouGov[61],The Sunday Times,1431,32%,40%,18%,4%,2%[a],1%,2%,0% Rsp on 0% Other on 0%,8
9–10 Apr,ComRes[62],Sunday Mirror/The Independent on Sunday,1001,32%,39%,16%,2%,–,3%,1%,7%,7
8–9 Apr,YouGov[permanent dead link],The Sun,1527,30%,40%,20%,–,–,–,–,10%,10
7–8 Apr,Harris Interactive[permanent dead link],Daily Mail,1012,27%,37%,22%,–,–,–,–,14%,10
7–8 Apr,YouGov[63],The Sun,1626,31%,40%,18%,4%,3%[a],1%,2%,1% Rsp on 0% Other on 1%,9
7 Apr,ICM[permanent dead link],The Sunday Telegraph,1032,30%,38%,21%,–,–,–,–,10%,8
6–7 Apr,YouGov[64],The Sun,1484,32%,37%,19%,3%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,5
6–7 Apr,Angus Reid Public Opinion[65],PoliticalBetting.com,2193,26%,37%,22%,5%,2%,2%,3%,2% PC on 1% Other on 1%,11
6 Apr,Populus[66],The Times,1507,32%,39%,21%,3%,2%,2%,2%,2% PC on 1% Other on 1%,7
5–6 Apr,YouGov[67],The Sun,1456,32%,40%,17%,4%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,8
31 Mar – 6 Apr,Harris Interactive[permanent dead link],The Metro,2080,28%,37%,20%,–,–,–,–,15%,9
4–5 Apr,YouGov[68],The Sun,1620,31%,41%,18%,4%,3%[a],2%,2%,0% Rsp on 0% Other on 0%,10
2–5 Apr,Opinium[69],Daily Express,1903,29%,39%,17%,6%,2%,3%,2%,1% PC on 0% Other on 1%,10
1–3 Apr,ICM[70],The Guardian,1001,33%,37%,21%,2%,2%,2%,2%,2% PC on 1% Other on 1%,4
1–2 Apr,YouGov[71],The Sunday Times,1503,29%,39%,20%,4%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,10
31 Mar – 1 Apr,Angus Reid Public Opinion[72],Sunday Express,1991,27%,38%,20%,5%,–,3%,4%,3%,11
31 Mar – 1 Apr,YouGov[73],The Sun,1552,31%,39%,19%,5%,2%[a],2%,1%,1% Rsp on 0% Other on 1%,8
30–31 Mar,ICM[74],The Guardian,1003,29%,38%,23%,3%,3%,1%,1%,1% PC on <0% Other on 1%,9
30–31 Mar,YouGov[75],The Sun,1615,32%,38%,19%,4%,2%[a],2%,2%,1% Rsp on 0% Other on 1%,6
30–31 Mar,Angus Reid Public Opinion[76],PoliticalBetting.com,2013,28%,37%,22%,5%,2%,2%,3%,1% PC on 0% Other on 1%,9
29–30 Mar,YouGov[77],The Sun,1681,31%,38%,19%,4%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,7
24–30 Mar,TNS-BMRB[78],,1819,33%,38%,19%,–,–,–,–,10%,5
28–29 Mar,YouGov[79],The Sun,1614,32%,39%,18%,4%,2%[a],2%,2%,1% Rsp on 0% Other on 1%,7
26–29 Mar,Opinium[permanent dead link],Daily Express,1780,28%,38%,18%,–,–,–,–,16%,10
23–29 Mar,Harris Interactive[permanent dead link],The Metro,1133,27%,37%,19%,–,–,–,–,17%,10
26–28 Mar,ComRes[80],The Independent,1001,30%,37%,20%,3%,2%,4%,2%,1% PC on 1% Other on <1%,7
25–26 Mar,YouGov[81],The Sunday Times,1533,32%,37%,19%,4%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,5
24–25 Mar,ICM[82],News of the World,1003,31%,39%,19%,2%,2%,2%,2%,2% PC on 1% Other on 1%,8
24–25 Mar,YouGov[83],The Sun,1483,33%,37%,18%,3%,3%[a],1%,3%,1% Rsp on 0% Other on 1%,4
23–24 Mar,YouGov[84],The Sun,1554,34%,36%,17%,5%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,2
22–23 Mar,YouGov[85],The Sun,1756,33%,37%,18%,4%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,4
21–22 Mar,YouGov[86],The Sun,1560,32%,36%,20%,3%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,4
19–22 Mar,Ipsos MORI,Daily Mirror,1503,30%,35%,21%,6%,2%[a],3%,2%,1%,5
19–22 Mar,Opinium[permanent dead link],Daily Express,1975,30%,37%,15%,–,–,–,–,18%,7
17–22 Mar,Harris Interactive[permanent dead link],The Metro,2117,28%,35%,17%,–,–,–,–,20%,7
18–19 Mar,YouGov[87],The Sunday Times,1547,31%,38%,19%,5%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,7
17–18 Mar,ICM[88],News of the World,1002,32%,38%,19%,2%,2%,2%,1%,3% PC on 2% Other on 1%,6
17–18 Mar,YouGov[89],The Sun,1671,32%,36%,20%,4%,3%[a],1%,3%,1% Rsp on 0% Other on 1%,4
16–17 Mar,YouGov[90],The Sun,1676,32%,36%,20%,3%,2%[a],2%,2%,1% Rsp on 0% Other on 1%,4
15–16 Mar,Angus Reid Public Opinion[91],PoliticalBetting.com,2003,26%,39%,21%,5%,2%,2%,4%,2% PC on 1% Other on 1%,13
15–16 Mar,YouGov[92],The Sun,1460,32%,37%,19%,3%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,5
10–16 Mar,Harris Interactive[permanent dead link],The Metro,1934,28%,36%,18%,–,–,–,–,18%,8
14–15 Mar,YouGov[93],The Sun,1466,32%,37%,21%,3%,2%[a],2%,3%,0% Rsp on 0% Other on 0%,5
12–15 Mar,Opinium[permanent dead link],Daily Express,1951,28%,39%,16%,–,–,–,–,17%,11
12–14 Mar,ICM[94],The Guardian,1002,31%,40%,20%,2%,2%,2%,1%,2% PC on 1% Other on 1%,9
11–12 Mar,YouGov[95],The Sunday Times,1507,33%,37%,17%,5%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,4
10–11 Mar,ICM[96],The Sunday Telegraph,1007,31%,38%,21%,2%,3%,2%,2%,2% PC on 1% Other on 1%,7
10–11 Mar,YouGov[97],The Sun,1434,34%,37%,17%,5%,2%[a],2%,3%,0% Rsp on 0% Other on 0%,3
9–10 Mar,YouGov[98],The Sun,1473,32%,37%,17%,4%,3%[a],2%,4%,1% Rsp on 0% Other on 1%,5
9–10 Mar,Angus Reid Public Opinion[99],PoliticalBetting.com,2003,26%,39%,18%,6%,3%,3%,3%,2% PC on 1% Other on 1%,13
8–9 Mar,YouGov[100],The Sun,1524,32%,36%,20%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,4
7–8 Mar,YouGov[101],The Sun,1747,34%,39%,16%,4%,3%[a],2%,2%,1% Rsp on 0% Other on 1%,5
5–8 Mar,Opinium[permanent dead link],Daily Express,1960,30%,37%,16%,–,–,–,–,16%,7
3–8 Mar,Harris Interactive[permanent dead link],The Metro,1498,29%,37%,18%,–,–,–,–,16%,8
4–5 Mar,YouGov[102],The Sunday Times,1558,33%,38%,17%,3%,4%[a],2%,2%,1% Rsp on 0% Other on 1%,5
3–4 Mar,ICM[103],News of the World,1005,31%,40%,18%,3%,2%,3%,1%,2% PC on 1% Other on 1%,9
3–4 Mar,YouGov[104],The Sun,1640,32%,38%,17%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,6
2–3 Mar,YouGov[105],The Sun,1661,32%,38%,19%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,6
25 Feb – 3 Mar,TNS-BMRB[106],,1973,31%,39%,19%,2%,3%,3%,3%,1% PC on 1% Other on <1%,8
1–2 Mar,YouGov[107],The Sun,1479,33%,38%,16%,4%,3%[a],3%,3%,1% Rsp on 0% Other on 1%,5
28 Feb – 1 Mar,YouGov[108],The Sun,1505,32%,39%,17%,4%,2%[a],2%,2%,1% Rsp on 0% Other on 1%,7
26–28 Feb,ComRes[109],The Independent,1005,32%,37%,19%,2%,3%,3%,3%,2% PC on 1% Other on 1%,5
25–26 Feb,YouGov[110],The Sunday Times,1436,35%,37%,17%,4%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,2
24–25 Feb,YouGov[111],The Sun,1472,33%,39%,16%,5%,2%[a],3%,2%,1% Rsp on 0% Other on 1%,6
23–24 Feb,YouGov[112],The Sun,1473,32%,38%,19%,3%,3%[a],1%,2%,10%,6
18–24 Feb,TNS-BMRB[113],,1954,32%,36%,21%,–,–,–,–,12%,4
22–23 Feb,YouGov[114],The Sun,1469,32%,38%,17%,4%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,6
21–22 Feb,YouGov[115],The Sun,1578,33%,39%,17%,3%,2%[a],2%,3%,1% Rsp on 0% Other on 1%,6
19–22 Feb,Ipsos MORI[116],The Daily Telegraph,1533,32%,37%,19%,2%,3%[a],2%,2%,1%,5
16–22 Feb,Harris Interactive[permanent dead link],The Metro,918,30%,39%,22%,–,–,–,–,9%,9
19–21 Feb,ICM[117],The Guardian,1004,30%,37%,20%,3%,4%,3%,2%,1% PC on 1% Other on <1%,7
18–19 Feb,YouGov[118],The Sunday Times,1472,33%,39%,17%,4%,2%[a],2%,2%,1% Rsp on 0% Other on 1%,6
16–19 Feb,Angus Reid Public Opinion[119],PoliticalBetting.com,4004,26%,38%,19%,6%,2%,3%,4%,2% PC 1% Other 1%,12
17–18 Feb,YouGov[120],The Sun,1558,32%,39%,18%,4%,3%[a],2%,2%,0% Rsp on 0% Other on 0%,7
17–18 Feb,ComRes[121],Theos,1085,30%,38%,20%,2%,3%,3%,2%,1% PC on 1% Other on <1%,8
16–17 Feb,Angus Reid Public Opinion[122],PoliticalBetting.com,2002,26%,40%,18%,6%,2%,2%,4%,2% PC on 1% Other on 1%,14
16–17 Feb,YouGov[123],The Sun,2145,30%,39%,18%,5%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,9
10–11 Feb,ComRes[124],The Independent,1009,29%,40%,21%,2%,3%,3%,2%,2% PC on 1% Other on 1%,11
9–10 Feb,Angus Reid Public Opinion[125],PoliticalBetting.com,2002,25%,38%,20%,6%,2%,3%,3%,2% PC on 1% Other on 1%,13
5–7 Feb,Populus[126],The Times,1502,30%,40%,20%,2%,2%,4%,1%,2% PC on 1% Other on 1%,10
3–4 Feb,ICM[127],The Sunday Telegraph,1001,30%,39%,20%,1%,3%,2%,3%,1% PC on <1% Other on 1%,9
29–31 Jan,ComRes[128],The Independent,1001,31%,38%,19%,4%,2%,3%,2%,2% PC on 1% Other on 1%,7
29–30 Jan,BPIX[129][b],Mail on Sunday,1524,30%,39%,18%,–,–,–,–,13%,9
28–29 Jan,YouGov[130],The Daily Telegraph,2054,31%,38%,19%,3%,3%[a],3%,3%,1% Rsp on 0% Other on 1%,7
26–28 Jan,YouGov[131],The People,2044,31%,40%,18%,3%,4%[a],2%,2%,1% Rsp on 0% Other on 1%,9
26–28 Jan,Ipsos MORI[132],Daily Mirror,1001,32%,40%,16%,–,–,–,–,12%,8
26–27 Jan,Angus Reid Public Opinion[133],PoliticalBetting.com,2004,24%,40%,19%,5%,2%,3%,4%,2% PC on 1% Other on 1%,16
22–24 Jan,ICM[134],The Guardian,1000,29%,40%,21%,2%,3%,3%,1%,1% PC on 1% Other on <1%,11
20–21 Jan,ComRes[135],Sunday Mirror,1004,29%,38%,19%,–,–,–,–,14%,9
14–15 Jan,YouGov[136],The Sunday Times,2033,31%,40%,18%,3%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,9
13–14 Jan,ComRes[137],The Independent on Sunday,1005,29%,42%,19%,–,–,–,–,10%,13
9–10 Jan,Angus Reid Strategies[permanent dead link],PoliticalBetting.com,2010,24%,40%,20%,–,–,–,–,17%,16
8–10 Jan,Populus[138],The Times,1509,28%,41%,19%,–,–,–,–,12%,13
6–10 Jan,ICM[139],The Sunday Telegraph,1003,30%,40%,18%,3%,3%,3%,2%,2% PC on 1% Other on 1%,10
6–7 Jan,YouGov[140],The Sun,2832,30%,42%,16%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,12
5–6 Jan,YouGov[141],The Sun,4167,31%,40%,17%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,9
