Date,Firm,Interview mode,Sample,Preferred prime minister,Preferred prime minister,Preferred prime minister,Preferred prime minister,Albanese,Albanese,Albanese,Albanese,Dutton,Dutton,Dutton,Dutton
9–14 Apr 2025,Essential[26],Online,2142.0,—N/a,—N/a,—N/a,—N/a,44%,47%,9%,−3%,40%,48%,12%,−8%
9–13 Apr 2025,Resolve Strategic[294],Online,1642.0,46%,30%,24%,16%,45%,43%,12%,+2%,34%,53%,13%,−19%
7–10 Apr 2025,Newspoll[29],Online,1271.0,49%,38%,13%,11%,45%,49%,6%,−4%,37%,56%,7%,−19%
4–10 Apr 2025,YouGov[30],Online,1515.0,48%,37%,15%,11%,45%,47%,8%,−2%,38%,53%,9%,−15%
31 Mar – 4 Apr 2025,Newspoll[31],Online,1250.0,48%,40%,12%,8%,42%,53%,5%,−11%,38%,55%,7%,−17%
28 Mar – 3 Apr 2025,YouGov[33],Online,1622.0,45%,38%,17%,7%,44%,50%,6%,−6%,38%,53%,9%,−15%
28–30 Mar 2025,Freshwater Strategy[36],Online,1059.0,46%,45%,9%,1%,37%,49%,14%,−12%,37%,47%,16%,−10%
26–30 Mar 2025,Resolve Strategic[37],Online,3237.0,42%,33%,25%,9%,39%,49%,12%,−10%,37%,47%,16%,−10%
26–30 Mar 2025,Essential[26],Online,1100.0,—N/a,—N/a,—N/a,—N/a,41%,47%,12%,−6%,44%,46%,10%,−2%
27–29 Mar 2025,DemosAU[295],Online,1013.0,39%,38%,23%,1%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
27–29 Mar 2025,Newspoll[39],Online,1249.0,49%,38%,13%,11%,43%,52%,5%,−9%,37%,55%,8%,−18%
17–21 Mar 2025,DemosAU[296],Online,1006.0,40%,37%,23%,3%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
14–19 Mar 2025,YouGov[43],Online,1500.0,45%,40%,15%,5%,41%,50%,9%,−9%,42%,47%,11%,−5%
12–16 Mar 2025,Essential[44],Online,2256.0,—N/a,—N/a,—N/a,—N/a,46%,45%,10%,+1%,41%,46%,13%,−5%
13–15 Mar 2025,Freshwater Strategy[47],Online,1051.0,46%,42%,12%,4%,37%,47%,16%,−10%,35%,46%,19%,−11%
7–13 Mar 2025,YouGov[48],Online,1526.0,45%,39%,16%,6%,43%,49%,8%,−6%,42%,48%,10%,−6%
5–7 Mar 2025,Freshwater Strategy[297],Online,830.0,39%,39%,22%,0%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
3–7 Mar 2025,Newspoll[51],Online,1255.0,47%,38%,15%,9%,41%,53%,6%,−12%,39%,53%,8%,−14%
28 Feb – 6 Mar 2025,YouGov,Online,1504.0,45%,39%,16%,6%,42%,51%,7%,−9%,43%,47%,10%,−4%
26 Feb – 2 Mar 2025,Essential[298],Online,1150.0,—N/a,—N/a,—N/a,—N/a,41%,49%,10%,−8%,41%,44%,15%,−3%
21–27 Feb 2025,YouGov[299],Online,1501.0,42%,40%,18%,2%,40%,52%,8%,−12%,44%,46%,10%,−2%
20–25 Feb 2025,RedBridge/Accent[300],Online,1002.0,—N/a,—N/a,—N/a,—N/a,30%,43%,27%,−13%,39%,43%,18%,−4%
21–23 Feb 2025,Freshwater Strategy[57],Online,1038.0,45%,43%,12%,2%,35%,46%,19%,−11%,36%,44%,20%,−8%
18–23 Feb 2025,Resolve Strategic[58],Online,1506.0,35%,39%,26%,4%,34%,56%,10%,−22%,45%,40%,15%,+5%
12–16 Feb 2025,Essential[301],Online,1146.0,—N/a,—N/a,—N/a,—N/a,42%,48%,10%,−6%,41%,45%,14%,−4%
10–14 Feb 2025,Newspoll[60],Online,1244.0,45%,40%,15%,5%,37%,58%,5%,−21%,41%,51%,8%,−10%
4–11 Feb 2025,RedBridge/Accent[62],Online,1002.0,—N/a,—N/a,—N/a,—N/a,29%,45%,26%,−16%,31%,42%,27%,−11%
20–24 Jan 2025,Newspoll[68],Online,1259.0,44%,41%,15%,3%,37%,57%,6%,−20%,40%,51%,9%,−11%
15–21 Jan 2025,Resolve Strategic[69],Online,1616.0,34%,39%,27%,5%,33%,55%,12%,−22%,44%,38%,18%,+6%
17–19 Jan 2025,Freshwater Strategy[70],Online,1063.0,43%,43%,14%,0%,32%,50%,18%,−18%,36%,40%,24%,−4%
15–19 Jan 2025,Essential[302],Online,1132.0,—N/a,—N/a,—N/a,—N/a,45%,45%,10%,0%,42%,43%,15%,−1%
9–15 Jan 2025,YouGov[72],Online,1504.0,44%,40%,16%,4%,40%,55%,5%,−15%,43%,49%,8%,−6%
