Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
15 Jul,Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab),Birmingham Hodge Hill by-election (Lab hold) and Leicester South by-election (LD gain from Lab)
2–3 Jul,Populus[dead link],The Times,556,33%,29%,24%,14%,4
24–29 Jun,MORI[1],–,Unknown,31%,34%,19%,16%,3
22–24 Jun,YouGov[1],The Daily Telegraph,Unknown,33%,34%,21%,12%,1
18–20 Jun,Ipsos MORI,Financial Times,966,32%,27%,22%,19%,5
11–13 Jun,ICM[dead link],The Guardian,1009,34%,31%,22%,13%,3
10 Jun,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales,European Parliament election; local elections in England and Wales
8–10 Jun,YouGov[1],Mail on Sunday,Unknown,32%,36%,18%,14%,4
4–6 Jun,Populus[dead link],The Times,589,31%,29%,22%,18%,2
2–4 Jun,YouGov[1],The Daily Telegraph,Unknown,35%,35%,17%,13%,Tie
27 May – 1 Jun,MORI[1],Financial Times,Unknown,35%,34%,18%,13%,1
25–27 May,YouGov[1],The Daily Telegraph,Unknown,33%,34%,21%,12%,1
20–23 May,ICM[dead link],The Guardian,1001,37%,33%,21%,9%,4
20–21 May,YouGov[1],The Daily Telegraph,Unknown,33%,36%,19%,12%,3
13–15 May,YouGov[1],The Sunday Times,Unknown,34%,37%,20%,9%,3
7–9 May,Populus[dead link],The Times,578,32%,36%,22%,10%,4
6–8 May,YouGov[1],Mail on Sunday,Unknown,36%,40%,18%,6%,4
27–29 Apr,YouGov[1],The Daily Telegraph,Unknown,35%,39%,19%,7%,4
15–19 Apr,MORI[1],–,Unknown,36%,34%,22%,8%,2
16–18 Apr,ICM[dead link],The Guardian,1002,38%,33%,22%,6%,5
2–4 Apr,Populus[1],The Times,Unknown,34%,34%,22%,10%,Tie
1 Apr[a],YouGov[1],Mail on Sunday,Unknown,35%,38%,20%,7%,3
23–25 Mar,YouGov[1],The Daily Telegraph,Unknown,34%,39%,20%,7%,5
11–16 Mar,MORI[1],–,Unknown,35%,35%,23%,7%,Tie
10–11 Mar,ICM[dead link],The Guardian,1014,37%,35%,21%,7%,2
5–7 Mar,Populus[dead link],The Times,573,36%,34%,22%,8%,2
24–26 Feb,YouGov[1],The Daily Telegraph,Unknown,34%,39%,21%,6%,5
20–22 Feb[b],ICM[dead link],The Guardian,1006,36%,34%,21%,8%,2
12–16 Feb,MORI[1],Financial Times,Unknown,36%,35%,21%,8%,1
6–8 Feb,Populus[dead link],The Times,580,36%,31%,25%,8%,5
4–5 Feb,ICM[1],News of the World,Unknown,34%,34%,24%,8%,Tie
4–5 Feb,NOP[1],The Independent,Unknown,35%,36%,24%,5%,1
29 Jan[a],YouGov[1],The Daily Telegraph,Unknown,36%,39%,19%,6%,3
20–22 Jan,YouGov[1],The Daily Telegraph,Unknown,35%,40%,19%,6%,5
15–20 Jan,MORI[1],–,Unknown,37%,35%,21%,7%,2
16–18 Jan,ICM[dead link],The Guardian,1007,39%,34%,20%,7%,5
2–4 Jan,Populus[dead link],The Times,566,40%,35%,18%,7%,5
