Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote,2pp vote
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,OTH,UND,L/NP,ALP
"13–14, 20–21 Jun 2020",Roy Morgan[126],Telephone/online,2593,42.5%,34.5%,10.5%,4%,8.5%,—N/a,50.5%,49.5%
15 Jun 2020,Essential[122],Online,1087,38%,35%,9%,5%,7%,7%,47%,47%
8 Jun 2020,Essential[122],Online,1073,40%,33%,9%,4%,6%,8%,47%,45%
3–6 Jun 2020,Newspoll-YouGov[127],Online,1512,42%,34%,12%,4%,8%,—N/a,51%,49%
13–16 May 2020,Newspoll-YouGov[128],Online,1504,43%,35%,10%,3%,9%,—N/a,51%,49%
"18–19, 25–26 Apr 2020",Roy Morgan[129],Telephone/online,2806,43.5%,33%,11.5%,3%,9%,—N/a,51.5%,48.5%
22–25 Apr 2020,Newspoll-YouGov[130],Online,1519,41%,36%,12%,4%,7%,—N/a,50%,50%
1–3 Apr 2020,Newspoll-YouGov[131],Online,1508,42%,34%,13%,5%,6%,—N/a,51%,49%
11–14 Mar 2020,Newspoll-YouGov[132],Online,1501,40%,36%,12%,4%,8%,—N/a,49%,51%
27 Feb 2020,COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133],COVID-19 pandemic declared a national emergency[133]
19–22 Feb 2020,Newspoll-YouGov[134],Online,1513,38%,34%,13%,4%,11%,—N/a,49%,51%
20 Jan–3 Feb 2020,ANU[135],CATI/online,3249,34.8%,33.4%,14.7%,—N/a,10.5%,—N/a,—N/a,—N/a
4 Feb 2020,Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136],Adam Bandt replaces Richard Di Natale as Greens leader[136]
29 Jan–1 Feb 2020,Newspoll-YouGov[137],Online,1510,38%,35%,13%,4%,10%,—N/a,48%,52%
8–11 Jan 2020,Newspoll-YouGov[138],Online,1505,40%,36%,12%,4%,8%,—N/a,49%,51%
4–8 Dec 2019,Newspoll-YouGov[139],Online,1503,42%,33%,11%,5%,9%,—N/a,52%,48%
21–23 Nov 2019,Newspoll-YouGov[140],Online[141],1519,41%,33%,12%,5%,9%,—N/a,51%,49%
7–10 Nov 2019,Newspoll-YouGov[142],IVR/online,1682,40%,35%,12%,7%,6%,—N/a,50%,50%
17–20 Oct 2019,Newspoll-YouGov[143],IVR/online,1634,42%,33%,13%,6%,6%,—N/a,51%,49%
26–29 Sep 2019,Newspoll-YouGov[144],IVR/online,1658,42%,33%,13%,6%,6%,—N/a,51%,49%
5–7 Sep 2019,Newspoll-YouGov[145],IVR/online,1661,43%,35%,12%,5%,5%,—N/a,51%,49%
15–18 Aug 2019,Newspoll-YouGov[146],IVR/online,1623,42%,34%,11%,4%,9%,—N/a,51%,49%
25–28 Jul 2019,Newspoll-YouGov[147],IVR/online,1601,44%,33%,11%,3%,9%,—N/a,53%,47%
30 May 2019,Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148],Anthony Albanese replaces Bill Shorten as Labor leader[148]
18 May 2019,Election[149],Election[149],Election[149],41.44%,33.34%,10.4%,3.08%,11.74%,—,51.53%,48.47%
