Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
4–6 Jul,Populus[1],The Times,Unknown,36%,34%,21%,9%,2
26–27 Jun,MORI[1],News of the World,Unknown,35%,35%,19%,11%,Tie
24–26 Jun,YouGov[1],The Daily Telegraph,Unknown,35%,37%,21%,7%,2
19–24 Jun,MORI[1],–,Unknown,41%,32%,19%,8%,9
20–22 Jun,ICM[dead link],The Guardian,1001,38%,34%,21%,7%,4
19–20 Jun,YouGov[1],Mail on Sunday,Unknown,37%,36%,20%,7%,1
13–15 Jun,Populus,The Times,513,36%,34%,21%,9%,2
28–29 May,YouGov,The Daily Telegraph,Unknown,37%,36%,20%,7%,1
22–28 May,MORI[1],–,Unknown,39%,31%,22%,8%,8
16–18 May,ICM[dead link],The Guardian,1000,42%,29%,21%,8%,13
2–4 May,Populus[dead link],The Times,565,35%,34%,23%,8%,1
1 May,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland,Scottish Parliament election; National Assembly for Wales election; local elections in England and Scotland
24–28 Apr,MORI[1],–,Unknown,43%,29%,21%,7%,14
22–24 Apr,YouGov,The Daily Telegraph,2390,40%,32%,21%,7%,8
17–19 Apr,ICM[dead link],The Guardian,1000,42%,30%,21%,7%,12
10–12 Apr,Populus[1],The Times,Unknown,41%,29%,22%,8%,12
10–11 Apr,YouGov[1],Mail on Sunday,Unknown,41%,33%,18%,8%,8
26–27 Mar,YouGov,The Daily Telegraph,2282,40%,33%,20%,7%,7
20–24 Mar,MORI[1],–,Unknown,43%,29%,21%,7%,14
20 Mar,The Iraq War begins,The Iraq War begins,The Iraq War begins,The Iraq War begins,The Iraq War begins,The Iraq War begins,The Iraq War begins,The Iraq War begins
14–16 Mar,ICM[dead link],The Guardian,1002,38%,32%,24%,6%,6
10–12 Mar,Populus[dead link],The Times,540,42%,29%,22%,7%,13
7–9 Mar,Populus[dead link],The Times,498,34%,34%,24%,8%,Tie
25–26 Feb,YouGov[1],The Daily Telegraph,Unknown,35%,31%,26%,8%,4
20–25 Feb,MORI[1],Financial Times,Unknown,41%,29%,22%,8%,12
20–21 Feb,YouGov[1],The Sunday Times,Unknown,35%,33%,25%,7%,2
17–18 Feb,YouGov[1],The Daily Telegraph,Unknown,34%,33%,26%,7%,1
14–16 Feb,ICM[dead link],The Guardian,1003,39%,31%,22%,8%,8
7–9 Feb,Populus[dead link],The Times,555,35%,34%,25%,6%,1
7–8 Feb,YouGov[1],Mail on Sunday,Unknown,37%,32%,24%,7%,5
28–30 Jan,YouGov,The Daily Telegraph,1949,36%,32%,24%,8%,4
23–27 Jan,MORI[1],–,Unknown,40%,31%,22%,7%,9
23–24 Jan,YouGov[1],The Sunday Times,Unknown,37%,31%,24%,8%,6
17–19 Jan,ICM[dead link],The Guardian,1002,43%,30%,21%,6%,13
16–17 Jan,YouGov[1],Mail on Sunday,Unknown,37%,31%,25%,7%,6
3–5 Jan,Populus[dead link],The Times,565,38%,31%,25%,6%,7
3–4 Jan,YouGov[1],Mail on Sunday,Unknown,38%,31%,23%,8%,7
3–4 Jan,Live St[1],The Times,Unknown,37%,32%,25%,6%,5
