Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
19 Sep 2021,Resolve Strategic[187],—N/a,38%,32%,10%,10%,4%,5%,1%,51.8%,48.2%
Jul – Sep 2021,Resolve Strategic[205],—N/a,42%,28%,10%,11%,—N/a,—N/a,9%,55.7%,44.3%
22 Aug 2021,Resolve Strategic[187],—N/a,45%,26%,12%,7%,—N/a,8%,3%,57%,43%
"18–19, 25–26 Sep 2021",Roy Morgan[81],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52.5%,47.5%
14 Jul – 18 Sep 2021,Newspoll[citation needed],1536,42%,33%,9%,8%,—N/a,—N/a,8%,55%,45%
"4–5, 11–12 Sep 2021",Roy Morgan[84],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54%,46%
"21–22, 28–29 Aug 2021",Roy Morgan[85],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
"7–8, 14–15 Aug 2021",Roy Morgan[196],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52%,48%
"24–25, 31 Jul – 1 Aug 2021",Roy Morgan[90],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52%,48%
"10–11, 17–18 Jul 2021",Resolve Strategic[93],—N/a,43%,26%,9%,15%,—N/a,—N/a,6%,58.1%,41.9%
"10–11, 17–18 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51.5%,48.5%
21 Apr – 26 Jun 2021,Newspoll[citation needed],1249,42%,33%,11%,7%,—N/a,—N/a,7%,53%,47%
13 Jun 2021,Resolve Strategic[197],—N/a,38%,35%,10%,7%,—N/a,—N/a,10%,49.6%,50.4%
"29–30 May, 5–6 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
12–16 May 2021,Resolve Strategic[101],—N/a,41%,30%,12%,7%,—N/a,—N/a,11%,53%,47%
16 Apr 2021,Resolve Strategic[175],—N/a,38%,30%,11%,8%,—N/a,—N/a,11%,52%,48%
27 Jan – 27 Mar 2021,Newspoll[206],1276,42%,35%,10%,8%,—N/a,—N/a,5%,53%,47%
"6–7, 13–14 Feb 2021",Roy Morgan[199],2786,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52%,48%
26 Aug – 28 Nov 2020,Newspoll[200],1879,45%,29%,12%,9%,—N/a,—N/a,5%,57%,43%
"14–15, 21–22 Nov 2020",Roy Morgan[114],2824,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54.5%,48.5%
31 Oct 2020,Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207],Annastacia Palaszczuk (Labor) wins the 2020 Queensland state election[207]
"8–9, 15–16 Aug 2020",Roy Morgan[120],2841,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60%,40%
3 Jun – 8 Aug 2020,Newspoll[201],457–2034,46%,27%,10%,11%,—N/a,—N/a,6%,59%,41%
"11–12, 18–19 Jul 2020",Roy Morgan[123],2589,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
11 Mar – 16 May 2020,Newspoll[202],472–1905,42%,28%,13%,11%,—N/a,—N/a,6%,56%,44%
7–8 Dec 2019,Newspoll[203],930–1472,40%,29%,12%,13%,—N/a,—N/a,6%,55%,45%
1 Sep 2019,YouGov Galaxy[citation needed],,40%,29%,12%,13%,—N/a,—N/a,6%,55%,45%
Election: 18 May 2019,[204],[204],43.70%,26.68%,10.32%,8.86%,3.51%,1.27%,5.66%,58.44%,41.56%
