Date(s) Conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
16–18 May,ICM,The Guardian,1008,27%,41%,22%,10%,14
15–16 May,YouGov,The Sunday Times,1854,25%,45%,18%,12%,20
14–15 May,ComRes,The Independent on Sunday,1004,26%,43%,19%,12%,17
7–8 May,YouGov,The Sun,1571,23%,49%,17%,11%,26
2–4 May,Populus,The Times,1509,29%,40%,19%,11%,11
1 May,Local elections in England and Wales,Local elections in England and Wales,Local elections in England and Wales,Local elections in England and Wales,Local elections in England and Wales,Local elections in England and Wales,Local elections in England and Wales,Local elections in England and Wales
25–27 Apr,ComRes[permanent dead link],The Independent,1005,26%,40%,20%,14%,14
23–24 Apr,ICM,The Sunday Telegraph,1010,29%,39%,20%,12%,10
21–23 Apr,YouGov,The Daily Telegraph,2073,26%,44%,17%,13%,18
17–22 Apr,Ipsos-MORI,The Observer,1059,31%,40%,19%,10%,9
18–20 Apr,ICM/The Guardian,,1000,34%,39%,19%,8%,5
16–17 Apr,Populus,Sunday Mirror,1006,30%,40%,19%,11%,10
10–11 Apr,YouGov,The Sunday Times,1755,28%,44%,17%,11%,16
8–10 Apr,Populus,The Times,1502,33%,39%,17%,6%,6
2–3 Apr,ICM,The Sunday Telegraph,1010,32%,43%,18%,7%,11
28–30 Mar,ComRes,The Independent,1004,31%,38%,17%,14%,7
25–27 Mar,YouGov,The Daily Telegraph,1926,29%,43%,17%,11%,14
13–18 Mar,Ipsos MORI,,1983,35%,40%,18%,7%,5
14–16 Mar,ICM,The Guardian,1003,29%,42%,21%,8%,13
13–14 Mar,YouGov,The Sunday Times,2311,27%,43%,16%,13%,16
12–13 Mar,ICM[permanent dead link],News of the World,1002,31%,40%,20%,9%,9
7–9 Mar,Populus,The Times,1502,34%,37%,19%,10%,3
25–27 Feb,YouGov,The Daily Telegraph,2011,33%,40%,16%,11%,7
21–26 Feb,Ipsos MORI,,2063,37%,39%,16%,8%,2
22–24 Feb,ComRes,The Independent,1010,30%,41%,17%,12%,11
18–20 Feb,YouGov/The Economist,The Economist,2118,34%,40%,16%,11%,6
15–17 Feb,ICM[permanent dead link],The Guardian,1003,34%,37%,21%,8%,3
14–15 Feb,YouGov,The Sunday Times,2469,32%,41%,16%,11%,9
1–3 Feb,Populus,The Times,1504,31%,40%,17%,12%,9
30–31 Jan,ICM[permanent dead link],The Sunday Telegraph,1012,32%,37%,21%,10%,5
25–27 Jan,ComRes,The Independent,1003,30%,38%,17%,15%,8
21–23 Jan,YouGov,The Daily Telegraph,1992,33%,41%,16%,10%,8
17–22 Jan,Ipsos MORI,,2045,38%,37%,16%,9%,1
18–20 Jan,ICM,The Guardian,1009,35%,37%,20%,8%,2
10–11 Jan,YouGov,The Sunday Times,2139,33%,43%,14%,11%,10
9–10 Jan,ICM[permanent dead link],The Sunday Telegraph,1011,33%,40%,18%,9%,7
9–10 Jan,Ipsos MORI,The Sun,1006,32%,42%,15%,11%,10
4–6 Jan,Populus,The Times,1509,33%,37%,19%,11%,4
