Polling firm,Last date of polling[1],Link,CPC,NDP,LPC,BQ,GPC,Margin of error[2],Sample size[3],Polling method[4],Lead
Ipsos Reid,"June 23, 2015",[132],28,35,29,6,2,±2.5 pp,2003,online,6
Environics,"June 18, 2015",[133],28,30,28,6,7,±2.4 pp,2003,telephone,2
Forum Research,"June 16, 2015",[134],26,34,28,7,5,±3.0 pp,1281,IVR,6
EKOS,"June 16, 2015",[135],29.4,30.2,25.0,5.9,7.1,±1.6 pp,3834,IVR,0.8
,"June 9, 2015",Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe,Bloc Québécois leader Beaulieu steps down and is replaced by former leader Gilles Duceppe
EKOS,"June 9, 2015",[136],26.9,33.6,23.3,5.1,7.3,±2.0 pp,2491,IVR,6.7
Angus Reid,"June 7, 2015",[137],31,36,23,5,5,±1.2 pp,6005,online,5
Forum Research,"June 5, 2015",[138],31,28,32,3,5,±3.0 pp,1156,IVR,1
EKOS,"June 2, 2015",[139],29.2,31.3,23.9,4.8,7.4,±2.1 pp,2204,IVR,2.1
Abacus Data,"May 31, 2015",[140],31,28,28,4,7,±2.6 pp,1500,online,3
Ipsos Reid,"May 29, 2015",[141],31,30,31,4,4,±3.5 pp,1003,online,Tie
Nanos Research,"May 29, 2015",[142],32,30,29,4,5,±3.1 pp,1000,telephone – rolling (1/2),2
EKOS,"May 26, 2015",[143],29.5,28.9,26.8,4.1,7.8,±1.8 pp,2934,IVR,0.6
EKOS,"May 19, 2015",[144],28.1,29.6,26.1,5.4,7.6,±1.9 pp,2675,IVR,1.5
Nanos Research,"May 14, 2015",[145],32.9,25.2,31.3,3.6,5.3,±3.1 pp,1000,telephone – rolling,1.6
Forum Research,"May 13, 2015",[146],31,30,31,3,4,±3.0 pp,1286,IVR,Tie
EKOS,"May 12, 2015",[147],30.0,29.1,27.0,4.1,8.0,±2.1 pp,2177,IVR,0.9
EKOS,"May 5, 2015",[148],30.3,24.2,29.6,4.2,7.3,±1.8 pp,3017,IVR,0.7
Leger Marketing,"April 30, 2015",[149],33,21,34,4,7,±2.5 pp,1488,online,1
EKOS,"April 28, 2015",[150],32.4,21.9,28.7,4.1,9.9,±1.6 pp,3757,IVR,3.7
Abacus Data,"April 24, 2015",[151],36,24,28,5,6,±2.6 pp,1500,online,8
Forum Research,"April 22, 2015",[152],35,23,31,5,6,±3.0 pp,977,IVR,4
EKOS,"April 21, 2015",[153],31.8,23.5,27.6,4.9,7.5,±1.6 pp,3850,IVR,4.0
Nanos Research,"April 17, 2015",[154],29,25,34,4,8,±3.1 pp,1000,telephone – rolling,5
Forum Research,"April 16, 2015",[155],33,22,35,3,6,±3.0 pp,1365,IVR,2
EKOS,"April 14, 2015",[156],32.2,22.7,28.5,4.9,8.0,±1.7 pp,3399,IVR,3.7
Ipsos Reid,"April 7, 2015",[157],35,25,33,4,3,±3.5 pp,1001,online,2
EKOS,"April 7, 2015",[158],28.7,22.9,30.1,4.2,9.2,±1.7 pp,3306,IVR,1.4
Forum Research,"March 31, 2015",[159],31,23,34,5,5,±3.0 pp,1239,IVR,3
EKOS,"March 31, 2015",[160],31.9,22.6,27.6,5.2,9.6,±1.6 pp,3901,IVR,4.3
Oraclepoll Research,"March 30, 2015",[161],35.3,18.7,31.4,5.9,8.7,±1.8 pp,3040,telephone,3.9
EKOS,"March 24, 2015",[162],31.8,23.2,28.5,4.7,8.7,±1.5 pp,4311,IVR,3.3
Abacus Data,"March 22, 2015",[163],32,23,33,4,6,±3.1 pp,1000,online,1
Leger Marketing,"March 18, 2015",[164],34,20,35,4,6,±2.5 pp,1511,online,1
EKOS,"March 17, 2015",[165],30.2,21.2,32.1,4.8,7.9,±1.6 pp,3832,IVR,1.9
Forum Research,"March 14, 2015",[166],32,21,36,4,6,±3.0 pp,1370,IVR,4
EKOS,"March 10, 2015",[167],32.9,19.7,30.5,4.8,8.8,±1.8 pp,2950,IVR,2.4
EKOS,"March 3, 2015",[168],32.2,19.9,31.3,4.6,9.0,±1.7 pp,3241,IVR,0.9
Nanos Research,"February 27, 2015",[169],33,23,34,5,5,±3.1 pp,1000,telephone – rolling,1
EKOS,"February 24, 2015",[170],31.1,22.1,31.9,4.5,7.5,±1.6 pp,3607,IVR,0.8
Ipsos Reid,"February 23, 2015",[171],33,23,34,6,3,±2.2 pp,2650,online,1
EKOS,"February 17, 2015",[172],32.3,19.1,31.6,5.4,8.0,±1.7 pp,3386,IVR,0.7
Abacus Data,"February 16, 2015",[173],35,21,34,4,4,±2.6 pp,1460,online,1
Forum Research,"February 10, 2015",[174],32,17,39,4,5,±3.0 pp,1018,IVR,7
EKOS,"February 10, 2015",[175],32.0,18.9,33.8,4.2,8.5,±1.8 pp,3005,IVR,1.8
EKOS,"February 3, 2015",[176],35.0,17.9,32.2,3.8,8.0,±1.8 pp,2974,IVR,2.8
Leger Marketing,"February 2, 2015",[177],32,20,35,5,6,±2.5 pp,1507,online,3
Forum Research,"January 28, 2015",[178],35,20,34,5,6,±3.0 pp,1382,IVR,1
Abacus Data,"January 28, 2015",[179],33,24,32,4,5,±3.1 pp,1005,online,1
EKOS,"January 13, 2015",[180],31.0,19.1,33.1,4.4,8.9,±1.5 pp,4412,IVR,2.1
Ipsos Reid,"January 11, 2015",[181],35,24,31,6,4,±2.6 pp,1915,online,4
Forum Research,"January 6, 2015",[182],33,20,37,4,5,±2.0 pp,1741,IVR,4
Abacus Data,"December 20, 2014",[183],34,22,33,4,6,±2.6 pp,1438,online,1
EKOS,"December 18, 2014",[184],29.8,20.2,33.8,5.3,7.7,±1.7 pp,2183,IVR,3.0
Angus Reid,"December 13, 2014",[185],34,22,34,4,5,±1.2 pp,6325,online,Tie
EKOS,"December 12, 2014",[186],30.8,20.0,31.8,5.0,7.8,±1.7 pp,3276,IVR,1
Forum Research,"December 11, 2014",[187],33,17,41,3,5,±2.0 pp,1658,IVR,8
Leger Marketing,"December 11, 2014",[188],32,19,38,4,6,±2.5 pp,1521,online,6
Ipsos Reid,"December 1, 2014",[189],33,24,34,5,4,±1.2 pp,8268,online,1
Forum Research,"November 20, 2014",[190],33,18,36,4,8,±3.0 pp,1500,IVR,3
EKOS,"November 6, 2014",[191],30.2,20.5,33.5,3.5,9.7,±2.5 pp,1561,IVR,3.3
Leger Marketing,"November 6, 2014",[192],33,19,36,3,7,±2.5 pp,1493,online,3
Abacus Data,"November 4, 2014",[193],30,24,35,4,6,±2.3 pp,1850,online,5
EKOS,"October 29, 2014",[194],27.8,21.4,33.4,5.5,8.2,±2.4 pp,1628,IVR,5.6
Abacus Data,"October 17, 2014",[195],30,25,32,4,8,±2.8 pp,1248,online,2
Leger Marketing,"October 16, 2014",[196],32,21,37,4,5,±2.5 pp,1524,online,5
EKOS,"October 15, 2014",[197],26.4,25.0,38.5,3.1,5.7,±2.4 pp,1671,telephone/online,12.1
Forum Research,"October 5, 2014",[198],34,19,38,4,4,±2.5 pp,1504,IVR,4
EKOS,"September 25, 2014",[199],24.9,24.4,38.3,4.0,7.7,±2.5 pp,1549,telephone/online,13.4
Angus Reid,"September 19, 2014",[200],30,22,36,4,6,±2.5 pp,1502,online,6
Abacus Data,"September 14, 2014",[201],30,23,38,3,5,±3.1 pp,1075,online,8
Ipsos Reid,"September 12, 2014",[202],31,23,38,5,3,±2.8 pp,1605,online,7
Forum Research,"September 5, 2014",[203],34,18,40,4,3,±3.0 pp,1267,IVR,6
Forum Research,"August 19, 2014",[204],32,17,41,5,5,±2.0 pp,1798,IVR,9
Abacus Data,"August 18, 2014",[205],29,22,35,5,7,±2.5 pp,1614,online,6
Ipsos Reid,"August 17, 2014",[206],31,24,38,3,3,±3.5 pp,1012,online,7
EKOS,"July 23, 2014",[207],25.6,23.4,38.7,3.7,7.1,±1.9 pp,2620,telephone/online,12.1
Forum Research,"July 18, 2014",[208],28,18,44,5,3,±2.0 pp,1624,IVR,16
Abacus Data,"July 3, 2014",[209],31,23,34,5,6,±2.2 pp,2000,online,3
Forum Research,"June 17, 2014",[210],31,19,39,4,5,±2.0 pp,1683,IVR,8
,"June 14, 2014",Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.,Mario Beaulieu is elected leader of the Bloc Québécois.
Angus Reid,"June 12, 2014",[211],31,27,30,5,6,±1.2 pp,6264,online,1
Angus Reid,"May 23, 2014",[212],31,25,30,5,7,±3.4 pp,1503,online,1
Forum Research,"May 23, 2014",[213],30,23,36,6,5,±2.0 pp,1694,IVR,6
EKOS,"May 1, 2014",[214],27.6,21.4,34.9,5.3,8.2,±1.6 pp,3677,IVR,7.3
Forum Research,"April 29, 2014",[215],30,20,39,6,4,±2.0 pp,1572,IVR,9
Ipsos Reid,"April 22, 2014",[216],33,24,33,6,4,±3.5 pp,1014,online,Tie
Angus Reid,"April 15, 2014",[217],32,26,30,5,6,±3.4 pp,1505,online,2
EKOS,"April 3, 2014",[218],26.7,21.8,35.8,4.8,8.1,±1.5 pp,4134,IVR,9.1
Forum Research,"March 28, 2014",[219],29,22,39,5,3,±2.0 pp,1764,IVR,10
Angus Reid,"March 9, 2014",[220],28,27,33,5,6,±1.2 pp,6445,online,5
Abacus Data,"March 5, 2014",[221],28,23,34,8,6,±2.8 pp,1249,online,6
Forum Research,"February 19, 2014",[222],29,21,39,6,4,±2.0 pp,1824,IVR,10
Ipsos Reid,"February 18, 2014",[223],29,24,37,5,5,±3.5 pp,1034,online,8
Angus Reid,"February 16, 2014",[224],28,26,33,5,6,±2.5 pp,1514,online,5
Nanos Research,"February 15, 2014",[225],28.7,23.2,34.0,6.4,5.3,±3.4 pp,1000,telephone,5.3
Ipsos Reid,"February 4, 2014",[226],29,27,33,7,4,±3.5 pp,1001,online,4
EKOS,"January 27, 2014",[227],29.7,24.3,33.2,4.5,6.2,±2.5 pp,1501,telephone/online,3.5
Forum Research,"January 25, 2014",[228],28,24,38,5,4,±3.0 pp,1228,IVR,10
Abacus Data,"January 18, 2014",[229],28,24,34,5,7,±2.2 pp,1996,online,6
Forum Research,"January 17, 2014",[230],28,25,37,5,4,±2.0 pp,1779,IVR,9
,"December 26, 2013","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader","Bloc Québécois leader Daniel Paillé steps down for health reasons, and Annie Lessard is named interim leader"
EKOS,"December 15, 2013",[231],26.2,22.9,32.1,6.3,9.3,±1.7 pp,3468,IVR,5.9
Forum Research,"December 13, 2013",[232],32,21,38,5,3,±2.0 pp,1634,IVR,6
Ipsos Reid,"November 27, 2013",[233],29,26,35,6,3,±3.5 pp,1014,online,6
Harris-Decima,"November 25, 2013",[234],26,23,36,7,7,±2.2 pp,2034,telephone,10
Forum Research,"November 13, 2013",[235],29,22,38,6,4,±2.0 pp,1834,IVR,9
EKOS,"October 29, 2013",[236],26.4,24.9,37.4,5.2,5.2,±2.6 pp,1377,telephone/online,11.0
Ipsos Reid,"October 28, 2013",[237],30,31,31,6,2,±3.4 pp,1102,online,Tie
Forum Research,"October 23, 2013",[238],28,20,40,6,5,±3.0 pp,1007,IVR,12
Forum Research,"October 22, 2013",[239],30,19,39,7,5,±2.0 pp,1859,IVR,9
Abacus Data,"October 22, 2013",[240],32,23,32,5,7,±2.6 pp,1459,online,Tie
Ipsos Reid,"October 20, 2013",[241],31,27,33,6,2,±3.4 pp,1042,online,2
Nanos Research,"October 18, 2013",[242],29,23,37,5,5,±3.5 pp,1000,telephone,8
EKOS,"October 14, 2013",[243],26.1,24.9,36.3,5.0,6.5,±2.5 pp,1554,telephone/online,10.2
Ipsos Reid,"September 20, 2013",[244],32,26,31,7,3,±3.5 pp,1035,online,1
Forum Research,"September 17, 2013",[245],31,21,36,7,4,±3.0 pp,1527,IVR,5
Harris-Decima,"September 9, 2013",[246],29,24,33,6,6,±2.2 pp,2020,telephone,4
Abacus Data,"September 4, 2013",[247],30,27,29,8,4,±2.5 pp,1600,online,1
Nanos Research,"August 31, 2013",[248],30,25,33,5,5,±3.5 pp,1000,telephone,3
Forum Research,"August 23, 2013",[249],29,22,38,6,4,±3.0 pp,1189,IVR,9
Nanos Research,"August 22, 2013",[250],29.7,24.8,35.7,3.9,5.5,±3.3 pp,1000,telephone/online,6.0
Nanos Research,"August 19, 2013",[251],31.9,22.8,35.3,2.5,5.9,±2.2 pp,2000,telephone,3.4
Forum Research,"July 23, 2013",[252],31,22,35,7,4,±2.0 pp,1782,IVR,4
EKOS,"July 9, 2013",[253],28.4,23.4,30.4,6.3,8.5,±1.8 pp,2900,IVR,2.0
Environics,"June 30, 2013",[254],28,24,34,6,6,±2.4 pp,2149,telephone,6
Ipsos Reid,"June 25, 2013",[255],30,28,33,6,4,±3.3 pp,1177,online,3
Abacus Data,"June 23, 2013",[256],27,26,29,6,10,±3.1 pp,999,online,2
Leger Marketing,"June 19, 2013",[257],29,21,37,4,8,±2.5 pp,1503,online,8
Nanos Research,"June 19, 2013",[258],29.4,25.3,34.2,3.7,6.4,±3.5 pp,1000,telephone/online,4.8
Forum Research,"June 18, 2013",[259],30,20,38,6,4,±2.0 pp,1525,IVR,8
Ipsos Reid,"May 28, 2013",[260],30,27,36,4,4,±3.5 pp,1009,online,6
EKOS,"May 26, 2013",[261],26.3,20.9,34.7,5.4,9.2,±1.7 pp,3318,IVR,8.4
Forum Research,"May 22, 2013",[262],27,20,44,4,3,±2.0 pp,1779,IVR,17
EKOS,"May 2, 2013",[263],26.2,23.9,38.6,4.2,6.3,±2.7 pp,1309,telephone/online,12.4
Ipsos Reid,"April 30, 2013",[264],32,25,35,5,3,±3.4 pp,1059,online,3
Harris-Decima,"April 28, 2013",[265],28,22,35,6,7,±2.2 pp,2008,telephone,7
Forum Research,"April 15, 2013",[266],30,19,43,5,2,±2.0 pp,1764,IVR,13
,"April 14, 2013",Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.,Justin Trudeau is elected leader of the Liberal Party.
EKOS,"April 10, 2013",[267],28.8,23.3,29.1,6.4,9.0,±1.5 pp,4568,IVR,0.3
Nanos Research,"April 8, 2013",[268],31.3,23.6,35.4,4.8,4.2,±3.3 pp,1002,telephone/online,4.1
Abacus Data,"April 6, 2013",[269],33,27,27,5,7,±2.6 pp,1511,online,6
Ipsos Reid,"April 3, 2013",[270],31,27,32,6,4,±3.4 pp,1053,,1
Forum Research,"April 2, 2013",[271],29,25,33,5,6,±3.0 pp,1310,IVR,4
Leger Marketing,"March 28, 2013",[272],31,24,30,7,7,±2.5 pp,1511,online,1
Abacus Data,"March 21, 2013",[273],32,31,24,5,8,±3.1 pp,1014,online,1
Forum Research,"March 7, 2013",[274],31,27,30,6,5,±2.0 pp,1755,IVR,1
Nanos Research,"February 24, 2013",[275],31.5,27.2,29.1,5.2,5.9,±3.7 pp,1000,telephone,2.4
EKOS,"February 10, 2013",[276],29.3,26.3,24.6,7.2,9.5,±1.3 pp,5947,IVR,3.0
Forum Research,"February 6, 2013",[277],32,26,30,6,4,±3.0 pp,1091,IVR,2
Abacus Data,"February 6, 2013",[278],35,31,21,6,6,±2.3 pp,1832,online,4
Nanos Research,"January 31, 2013",[279],34.3,27.1,27.6,4.6,4.7,±3.5 pp,1000,telephone,6.7
Forum Research,"January 17, 2013",[280],36,28,25,7,4,±2.0 pp,1626,IVR,8
Angus Reid,"January 17, 2013",[281],35,29,22,6,6,±2.2 pp,2028,online,6
Angus Reid,"January 3, 2013",[282],35,33,19,6,6,±3.1 pp,1012,online,2
Forum Research,"December 18, 2012",[283],31,28,27,6,6,±2.0 pp,1355,IVR,3
Abacus Data,"December 8, 2012",[284],34,32,22,6,6,±2.6 pp,1505,online,2
Leger Marketing,"December 6, 2012",[285],35,30,18,7,9,±2.5 pp,1500,online,5
EKOS,"December 3, 2012",[286],31.9,25.8,24.4,6.7,8.4,±1.3 pp,5433,IVR,6.1
Forum Research,"November 19, 2012",[287],33,28,28,6,4,±2.0 pp,1849,IVR,5
Nanos Research,"November 15, 2012",[288],33.8,27.2,29.0,4.9,3.7,±3.5 pp,1004,telephone,4.8
Abacus Data,"November 11, 2012",[289],36,29,22,7,6,±3.0 pp,1068,online,7
Ipsos Reid,"November 8, 2012",[290],34,30,26,7,2,±2.5 pp,2009,telephone/online,4
Forum Research,"October 27, 2012",[291],31,32,27,6,4,±2.0 pp,1735,IVR,1
Nanos Research,"October 11, 2012",[292],33.3,27.9,30.1,4.7,2.9,±3.4 pp,1000,telephone,3.2
Forum Research,"September 26, 2012",[293],35,30,25,6,3,±2.0 pp,1707,IVR,5
Environics,"September 23, 2012",[294],31,35,20,9,5,±2.4 pp,2000,telephone,4
Abacus Data,"September 18, 2012",[295],35,35,17,7,6,±2.9 pp,1208,online,Tie
Harris-Decima,"September 10, 2012",[296],34,27,24,6,7,±2.2 pp,2007,telephone,7
Nanos Research,"September 9, 2012",[297],32.4,30.4,24.6,5.8,5.0,±3.4 pp,1000,telephone,2.0
Forum Research,"August 22, 2012",[298],34,34,22,6,4,±2.4 pp,1720,IVR,Tie
Abacus Data,"August 12, 2012",[299],37,32,20,6,6,±2.2 pp,2099,online,5
Forum Research,"July 26, 2012",[300],31,35,22,6,5,±2.4 pp,1639,IVR,4
Nanos Research,"July 12, 2012",[301],33.6,30.3,26.5,4.4,4.2,±3.2 pp,1200,telephone,3.3
EKOS,"July 5, 2012",[302],30.2,32.3,19.5,4.9,10.0,±2.1 pp,2098,IVR,2.1
Forum Research,"June 27, 2012",[303],35,35,19,6,3,±2.9 pp,1165,IVR,Tie
EKOS,"June 26, 2012",[304],29.3,32.4,19.2,6.5,9.5,±2.2 pp,2049,IVR,3.1
Abacus Data,"June 23, 2012",[305],35,35,20,5,6,±3.1 pp,1008,online,Tie
Environics,"June 23, 2012",[306],33,35,19,7,5,±2.4 pp,2093,telephone,2
Ipsos Reid,"June 21, 2012",[307],35,38,18,6,4,±3.1 pp,1099,online,3
Harris-Decima,"June 18, 2012",[308],31,32,23,5,7,±2.2 pp,2000,telephone,1
Angus Reid,"June 16, 2012",[309],34,35,19,6,5,±2.5 pp,1500,online,1
Forum Research,"June 14, 2012",[310],30,37,22,6,5,±2.5 pp,1529,IVR,7
Nanos Research,"May 31, 2012",[311],33.5,33.6,24.9,3.4,2.4,±3.1 pp,1201,telephone,0.1
Forum Research,"May 23, 2012",[312],32,36,20,5,6,±2.3 pp,1836,IVR,4
Angus Reid,"May 23, 2012",[313],37,33,18,7,4,±3.1 pp,1014,online,4
Abacus Data,"May 16, 2012",[314],37,35,17,6,5,±3.1 pp,1008,online,2
Ipsos Reid,"May 10, 2012",[315],37,35,19,5,3,±2.0 pp,2061,telephone/online,2
Environics,"May 9, 2012",[316],32,36,19,6,7,±3.5 pp,1000,telephone,4
Harris-Decima,"May 6, 2012",[317],30,34,20,7,8,±2.2 pp,2018,telephone,4
Harris-Decima,"April 30, 2012",[318],30,33,20,7,8,±3.1 pp,1006,telephone,3
Forum Research,"April 25, 2012",[319],33,36,22,6,2,±2.4 pp,1744,IVR,3
Nanos Research,"April 18, 2012",[320],34.7,32.4,23.3,3.9,4.2,±3.2 pp,1200,telephone,2.3
Ipsos Reid,"April 5, 2012",[321],34,33,21,7,4,±2.0 pp,1008,telephone,1
Leger Marketing,"April 4, 2012",[322],32,33,19,7,8,±2.5 pp,1506,online,1
Harris-Decima,"April 2, 2012",[323],34,32,19,6,8,±2.2 pp,2003,telephone,2
Forum Research,"March 30, 2012",[324],36,34,19,5,5,±2.4 pp,1675,IVR,2
Forum Research,"March 27, 2012",[325],35,35,19,7,3,±2.4 pp,1638,IVR,Tie
,"March 24, 2012",Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.,Thomas Mulcair is elected leader of the New Democratic Party.
Angus Reid,"March 21, 2012",[326],37,29,21,8,4,±3.1 pp,1004,online,8
Innovative Research,"March 21, 2012",[327],37,25,24,6,7,±2.8 pp,1193,online,12
Harris-Decima,"March 19, 2012",[328],31,28,24,8,7,±2.2 pp,2005,telephone,3
Environics,"March 18, 2012",[329],30,30,20,8,7,±2.4 pp,2000,telephone,Tie
Abacus Data,"March 13, 2012",[330],37,28,20,8,7,±3.1 pp,1003,online,9
EKOS,"March 11, 2012",[331],35.4,29.7,19.6,5.8,8.1,±2.2 pp,2011,telephone/online,5.7
Ipsos Reid,"March 8, 2012",[332],37,29,23,7,4,±2.0 pp,3154,telephone/online,8
Leger Marketing,"March 5, 2012",[333],34,26,24,8,7,±2.0 pp,2509,online,8
Forum Research,"March 3, 2012",[334],37,28,25,5,4,±2.4 pp,1675,IVR,9
Nanos Research,"February 29, 2012",[335],35.7,25.0,29.5,4.9,3.4,±3.1 pp,1203,telephone,6.2
EKOS,"February 28, 2012",[336],31.5,29.2,21.7,6.0,8.3,±1.6 pp,3699,IVR,2.3
Forum Research,"February 6, 2012",[337],36,28,26,6,3,±2.8 pp,1210,IVR,8
Nanos Research,"January 23, 2012",[338],35.7,25.2,27.6,5.6,4.5,±3.2 pp,1201,telephone,8.1
Harris-Decima,"January 22, 2012",[339],32,29,25,5,7,±2.2 pp,2000,telephone,3
Angus Reid,"January 21, 2012",[340],39,28,22,6,5,±3.1 pp,1000,online,11
Abacus Data,"January 19, 2012",[341],37,28,21,6,7,±3.1 pp,1000,online,9
Forum Research,"January 13, 2012",[342],35,28,25,6,4,±2.8 pp,1211,IVR,7
EKOS,"December 21, 2011",[343],31.4,29.5,24.8,6.7,6.1,±2.2 pp,2005,telephone/online,1.9
Nanos Research,"December 18, 2011",[344],36.5,28.7,25.6,4.4,3.8,±3.3 pp,1201,telephone,7.8
Forum Research,"December 13, 2011",[345],33,27,21,6,8,±2.9 pp,1160,IVR,6
Harris-Decima,"December 12, 2011",[346],34,28,22,6,7,±2.2 pp,2005,telephone,6
,"December 11, 2011",Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.,Daniel Paillé is elected leader of the Bloc Québécois at the party's 2011 leadership election.
Abacus Data,"December 4, 2011",[347],40,31,18,6,5,±3.1 pp,1004,online,9
Nanos Research,"November 21, 2011",[348],35.6,27.3,28.1,3.9,3.9,±3.2 pp,1202,telephone,7.5
Ipsos Reid,"November 9, 2011",[349],37,31,21,6,3,,,,6
Harris-Decima,"November 6, 2011",[350],36,29,22,5,7,±2.2 pp,2000,telephone,7
Nanos Research,"October 24, 2011",[351],37.7,30.0,23.4,3.6,3.8,±3.2 pp,1202,telephone,7.7
Nanos Research,"October 2, 2011",[352],39.0,29.0,24.5,3.5,2.9,±3.2 pp,1209,telephone,10.0
Angus Reid,"September 21, 2011",[353],39,29,21,5,4,±2.4 pp,1668,online,10
Leger Marketing,"September 15, 2011",[354],39,33,17,5,6,±2.4 pp,1625,online,6
Nanos Research,"September 1, 2011",[355],39.5,33.1,20.7,2.6,3.4,±3.2 pp,1210,telephone,6.4
Harris-Decima,"August 29, 2011",[356],33,33,21,6,7,±2.2 pp,2026,telephone,Tie
