Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
1–3 Apr,Populus[dead link],The Times,812,37%,35%,19%,9%,2
1–3 Apr,MORI[1],Financial Times,Unknown,34%,39%,21%,6%,5
30 Mar[a],YouGov[1],The Sunday Times,Unknown,36%,34%,22%,8%,2
24–25 Mar,ComRes[1],Independent on Sunday,Unknown,40%,34%,16%,10%,6
21–24 Mar,YouGov[1],The Daily Telegraph,Unknown,35%,34%,22%,9%,1
22–23 Mar,ComRes[1],Independent on Sunday,Unknown,43%,31%,17%,9%,12
17–22 Mar,MORI[1],Financial Times,Unknown,37%,37%,20%,6%,Tie
18–20 Mar,ICM[dead link],The Guardian,716,40%,32%,20%,7%,8
17–19 Mar,YouGov[1],The Sunday Times,Unknown,37%,32%,23%,8%,5
11–13 Mar,NOP[1],The Independent,Unknown,39%,34%,19%,8%,5
4–6 Mar,Populus[dead link],The Times,831,39%,32%,20%,9%,7
23–24 Feb,ComRes[1],Independent on Sunday,Unknown,41%,34%,17%,8%,7
22–24 Feb,YouGov[1],The Daily Telegraph,Unknown,38%,32%,21%,9%,6
17–21 Feb,MORI[1],Financial Times,Unknown,39%,37%,18%,6%,2
18–20 Feb,ICM[dead link],The Guardian,"1,013[2]",37%,34%,21%,8%,3
11–13 Feb,NOP[1],The Independent,Unknown,42%,30%,18%,10%,12
4–6 Feb,Populus,The Times,814,41%,32%,18%,9%,9
3–5 Feb,YouGov[1],Mail on Sunday,Unknown,34%,33%,23%,10%,1
26–28 Jan,YouGov[1],The Daily Telegraph,Unknown,35%,33%,23%,9%,2
26–27 Jan,ICM[1],The Sunday Telegraph,Unknown,37%,32%,21%,10%,5
26–27 Jan,ComRes[1],Independent on Sunday,Unknown,40%,32%,20%,8%,8
25–27 Jan,YouGov[1],The Daily Telegraph,Unknown,35%,34%,22%,9%,1
20–24 Jan,MORI[1],The Observer,Unknown,38%,32%,22%,8%,6
21–23 Jan,ICM[dead link],The Guardian,"1,000[2]",38%,31%,21%,9%,6
20–22 Jan,YouGov[1],The Sunday Times,Unknown,34%,31%,25%,10%,3
7–9 Jan,NOP[1],The Independent,Unknown,38%,32%,21%,9%,6
7–9 Jan,Populus[dead link],The Times,848,38%,33%,20%,9%,5
5–6 Jan,ICM[1],News of the World,Unknown,38%,31%,21%,10%,7
2–6 Jan,MORI[1],,Unknown,35%,30%,26%,9%,5
