country,election_year,source_table,date_raw,marker_text,marker_relevance,marker_party_rows,national_overlap_parties,marker_mae,marker_max_abs_error,matched_parties
canada,2004,canada_2004_table5.csv,Voting result[4],Voting result[4] | ,generic_current_candidate,5,5,3.2849363856279323,7.070700675916058,CPC|GPC|LPC|NDP|OTHER
canada,2004,canada_2004_table6.csv,Election,Election | ,generic_current_candidate,6,6,12.479027606602292,36.51411050533952,BQ|CPC|GPC|LPC|NDP|OTHER
canada,2006,canada_2006_table4.csv,23 January 2006,23 January 2006 | Election,explicit_current_year,5,5,0.024163031523113075,0.031267680936675646,BQ|CPC|GPC|LPC|NDP
canada,2015,canada_2015_table1.csv,"October 19, 2015","October 19, 2015 | 2015 election",explicit_current_year,5,5,0.024983083844965483,0.03236148341912326,BQ|CPC|GPC|LPC|NDP
canada,2015,canada_2015_table2.csv,"May 2, 2011","May 2, 2011 | 2011 election",historical_other_year,5,5,8.1878754132401,20.567638516580878,BQ|CPC|GPC|LPC|NDP
canada,2019,canada_2019_table1.csv,"October 21, 2019","October 21, 2019 | 2019 election",explicit_current_year,6,5,0.06175221114680181,0.10788799986406161,BQ|CPC|GPC|LPC|NDP
canada,2019,canada_2019_table2.csv,"October 19, 2015","October 19, 2015 | 2015 election",historical_other_year,5,5,3.760620511804633,6.432013971398078,BQ|CPC|GPC|LPC|NDP
canada,2019,canada_2019_table8.csv,"October 19, 2015","October 19, 2015 | 2015 election",historical_other_year,6,6,7.9212887113721,17.70788799986406,BQ|CPC|GPC|LPC|NDP|OTHER
canada,2019,canada_2019_table8.csv,"October 21, 2019","October 21, 2019 | 2019 election",explicit_current_year,7,6,8.929975044899654,24.807911163300886,BQ|CPC|GPC|LPC|NDP|OTHER
canada,2021,canada_2021_table1.csv,"September 20, 2021","September 20, 2021 | 2021 election",explicit_current_year,6,0,,,
canada,2021,canada_2021_table2.csv,"October 21, 2019","October 21, 2019 | 2019 election[g]",historical_other_year,6,0,,,
canada,2025,canada_2025_table2.csv,"April 28, 2025","April 28, 2025 | 2025 election",explicit_current_year,6,0,,,
canada,2025,canada_2025_table27.csv,"April 28, 2025","April 28, 2025 | 2025 election",explicit_current_year,3,0,,,
canada,2025,canada_2025_table27.csv,"September 20, 2021","September 20, 2021 | 2021 election",historical_other_year,3,0,,,
canada,2025,canada_2025_table3.csv,"September 20, 2021","September 20, 2021 | 2021 election",historical_other_year,6,0,,,
uk,1997,uk_1997_table10.csv,1 May 1997,1 May 1997 | 1997 general election,explicit_current_year,3,3,26.998038467378652,37.70796614899999,CON|LAB|LIB
uk,1997,uk_1997_table10.csv,9 Apr 1992,9 Apr 1992 | 1992 general election,historical_other_year,3,3,27.66470513404532,37.20796614899999,CON|LAB|LIB
uk,1997,uk_1997_table2.csv,1 May 1997,1 May 1997 | 1997 general election,explicit_current_year,3,3,0.03137180071198742,0.04412217187569922,CON|LAB|LIB
uk,1997,uk_1997_table7.csv,9 Apr 1992,9 Apr 1992 | 1992 general election,historical_other_year,3,3,7.031371800711988,11.244122171875699,CON|LAB|LIB
uk,1997,uk_1997_table8.csv,1 May 1997,1 May 1997 | 1997 general election,explicit_current_year,4,3,6.4352948659546785,13.1558778281243,CON|LAB|LIB
uk,1997,uk_1997_table8.csv,9 Apr 1992,9 Apr 1992 | 1992 general election,historical_other_year,4,3,4.30727229862134,5.055877828124299,CON|LAB|LIB
uk,1997,uk_1997_table9.csv,1 May 1997,1 May 1997 | 1997 general election,explicit_current_year,3,3,25.96470513404532,36.307966148999995,CON|LAB|LIB
uk,1997,uk_1997_table9.csv,9 Apr 1992,9 Apr 1992 | 1992 general election,historical_other_year,3,3,23.598038467378654,32.844122171875696,CON|LAB|LIB
uk,2001,uk_2001_table1.csv,7 Jun 2001,7 Jun 2001 | 2001 general election[4],explicit_current_year,3,3,0.02316925801851492,0.0413772159337924,CON|LAB|LIB
uk,2001,uk_2001_table5.csv,1 May 1997,1 May 1997 | 1997 general election[37],historical_other_year,3,3,1.6601135969137815,2.5249242823984446,CON|LAB|LIB
