country,election_year,source_table,poll_party_rows,party_count,party_signature,marker_candidate_count,best_marker_date_raw,best_marker_relevance,national_overlap_parties,marker_mae,marker_max_abs_error,scope_status,scope_reason
canada,2025,canada_2025_table11.csv,15,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table14.csv,114,6,BQ|CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table15.csv,112,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table16.csv,28,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table19.csv,29,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table2.csv,1011,6,BQ|CPC|GPC|LPC|NDP|PPC,1,"April 28, 2025",explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
canada,2025,canada_2025_table21.csv,25,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table22.csv,16,4,CPC|GPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table27.csv,12,3,BQ|GPC|NDP,2,"April 28, 2025",explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
canada,2025,canada_2025_table3.csv,2528,6,BQ|CPC|GPC|LPC|NDP|PPC,1,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table4.csv,12,4,BQ|CPC|GPC|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table6.csv,83,6,BQ|CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table7.csv,47,6,BQ|CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2025,canada_2025_table9.csv,15,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
