country,election_year,party,dataset_split,election_date,last_poll_date,days_before_election,final_poll_pct,final_rolling_avg,final_momentum_1st,final_momentum_2nd,recent_30d_mean,recent_30d_std,recent_30d_observations,recent_30d_trend_per_day,final_vs_recent_30d_mean,mean_poll_pct,poll_std,min_poll_pct,max_poll_pct,mean_rolling_avg,mean_momentum_1st,mean_momentum_2nd,n_poll_observations,campaign_span_days,actual_pct,is_winner
canada,2008,CPC,development,2008-10-14,2008-10-14,0,37.6,36.32,-0.3999999999999986,-1.3999999999999986,36.04554455445545,2.168702890718994,101,-0.15345848717692825,0.2744554455445538,35.51866666666667,2.6540004186552464,29.0,43.0,35.50620555555556,0.004347826086956536,0.009731543624161069,300,995,37.65330561863149,1
canada,2008,LPC,development,2008-10-14,2008-10-14,0,26.2,25.44,-0.1999999999999993,-3.999999999999997,25.870297029702968,2.272415060855534,101,0.009142051691447677,-0.4302970297029667,28.590635451505012,3.3409958758363096,21.0,40.0,28.62385730211817,-0.013422818791946308,-0.01346801346801348,299,995,26.262164155250712,0
canada,2008,NDP,development,2008-10-14,2008-10-14,0,18.2,20.32,-4.400000000000002,-7.000000000000004,18.80792079207921,1.5376259937632435,101,0.08161959884243077,1.5120792079207916,16.917666666666666,2.4445697417382517,10.0,24.0,16.906027777777776,0.002341137123745817,-0.016442953020134238,300,995,18.18154218784132,0
canada,2008,BQ,development,2008-10-14,2008-10-14,0,10.0,9.56,0.5,0.0,9.037623762376237,1.1213368511258226,101,0.084156396567209,0.5223762376237637,9.142465753424657,1.2614318683211603,5.0,13.0,9.14394406392694,-0.001718213058419244,0.006896551724137925,292,995,9.97514582240337,0
canada,2008,GPC,development,2008-10-14,2008-10-14,0,6.8,7.739999999999999,-0.2999999999999998,-0.3999999999999994,9.65049504950495,1.9415021112518254,101,-0.015491093703223257,-1.9104950495049513,9.098954703832753,2.0368809304369084,4.0,14.0,9.084686411149827,0.00804195804195804,-0.009824561403508777,287,995,6.777454635560008,0
canada,2015,LPC,holdout,2015-10-19,2015-10-19,0,39.5,38.48,0.3999999999999986,-2.9000000000000057,33.49722222222223,3.1044758111037676,72,0.28328493747885075,4.98277777777777,31.813913043478266,3.5175062054646102,23.0,40.0,31.59715942028986,0.12719298245614036,-0.02831858407079647,115,78,39.46763851658088,1
canada,2015,CPC,holdout,2015-10-19,2015-10-19,0,31.9,31.06,1.3999999999999986,2.799999999999997,31.574999999999996,1.8252663428174591,72,-0.010609315611794875,-0.514999999999997,30.707826086956523,2.2255882593572953,23.0,37.0,30.66982608695652,0.03421052631578946,-0.015929203539823016,115,78,31.91111168209498,0
canada,2015,NDP,holdout,2015-10-19,2015-10-19,0,19.7,20.36,0.0,0.6999999999999993,24.65277777777778,3.0234717086223095,72,-0.2961181016234254,-4.292777777777779,27.413913043478257,4.570222845989436,19.0,40.0,27.696985507246374,-0.1692982456140351,0.07610619469026546,115,78,19.721878810796238,0
canada,2015,BQ,holdout,2015-10-19,2015-10-19,0,4.7,5.02,-0.7999999999999998,-1.3999999999999997,4.472222222222222,0.9245452669379061,72,0.03882685301037949,0.5477777777777773,4.199130434782609,0.9363663025504415,2.3,6.0,4.191666666666666,-0.002631578947368412,-1.768496853385205e-17,115,78,4.66785375728734,0
canada,2015,GPC,holdout,2015-10-19,2015-10-19,0,3.4,4.119999999999999,-1.1999999999999995,-0.1999999999999997,4.890277777777778,1.325933604234958,72,-0.021378376889602393,-0.7702777777777792,4.987826086956521,1.29984265443014,2.0,8.0,4.978956521739131,0.0035087719298245936,-0.028318584070796463,115,78,3.427417200201825,0
