country,election_year,party,actual_pct
canada,1957,LPC,93.07102811361014
canada,1957,OTHER,6.928971886389855
canada,1958,LPC,97.84515313283471
canada,1958,OTHER,2.154846867165299
canada,1962,LPC,72.23231866994175
canada,1962,NDP,26.51067781815229
canada,1962,OTHER,1.2570035119059702
canada,1963,LPC,75.01244677074112
canada,1963,NDP,23.91384614257693
canada,1963,OTHER,1.0737070866819438
canada,1965,LPC,67.80076967953498
canada,1965,NDP,30.223210565079878
canada,1965,OTHER,1.9760197553851426
canada,1968,CPC,0.006591733499520203
canada,1968,LPC,71.68852406420231
canada,1968,NDP,26.79983005383249
canada,1968,OTHER,1.505054148465672
canada,1972,LPC,66.89436179270507
canada,1972,NDP,31.050822243062086
canada,1972,OTHER,2.0548159642328407
canada,1974,LPC,72.54776069945407
canada,1974,NDP,25.95311863990797
canada,1974,OTHER,1.499120660637955
canada,1979,LPC,67.40180627234776
canada,1979,NDP,30.053515812583477
canada,1979,OTHER,2.5446779150687657
canada,1980,LPC,67.33306467180397
canada,1980,NDP,30.024548415655072
canada,1980,OTHER,2.6423869125409647
canada,1984,GPC,0.430502839662039
canada,1984,LPC,56.23332003386966
canada,1984,NDP,37.73820099034363
canada,1984,OTHER,5.597976136124675
canada,1988,GPC,0.6533331986863061
canada,1988,LPC,58.17127848874021
canada,1988,NDP,37.146850705174614
canada,1988,OTHER,4.028537607398873
canada,1993,BQ,20.690687876849193
canada,1993,GPC,0.36963668700439944
canada,1993,LPC,63.30362550834992
canada,1993,NDP,10.530986087878912
canada,1993,OTHER,5.105063839917579
canada,1997,BQ,17.266454433784624
canada,1997,GPC,0.692529076116649
canada,1997,LPC,62.22553724485238
canada,1997,NDP,17.873076164493067
canada,1997,OTHER,1.9424030807532786
canada,2000,BQ,17.191959307129075
canada,2000,GPC,1.3027423863399414
canada,2000,LPC,65.5367431153336
canada,2000,NDP,13.649826230719633
canada,2000,OTHER,2.3187289604777366
canada,2004,BQ,12.385889494660479
canada,2004,CPC,29.632040571182472
canada,2004,GPC,4.292368531206952
canada,2004,LPC,36.72929932408394
canada,2004,NDP,15.683374393333521
canada,2004,OTHER,1.277027685532642
canada,2006,BQ,10.482448086033227
canada,2006,CPC,36.269240277437795
canada,2006,GPC,4.4817498415182015
canada,2006,LPC,30.231267680936675
canada,2006,NDP,17.477014318331875
canada,2006,OTHER,1.0582797957422203
canada,2008,BQ,9.97514582240337
canada,2008,CPC,37.65330561863149
canada,2008,GPC,6.777454635560008
canada,2008,LPC,26.262164155250712
canada,2008,NDP,18.18154218784132
canada,2008,OTHER,1.1503875803130974
canada,2011,BQ,6.054239410811479
canada,2011,CPC,39.631064426873714
canada,2011,GPC,3.885464392100505
canada,2011,LPC,18.901655666470614
canada,2011,NDP,30.64667977000784
canada,2011,OTHER,0.8808963337358514
canada,2015,BQ,4.6678537572873395
canada,2015,CPC,31.91111168209498
canada,2015,GPC,3.427417200201825
canada,2015,LPC,39.46763851658088
canada,2015,NDP,19.721878810796234
canada,2015,OTHER,0.8041000330387436
canada,2019,BQ,7.692088836699113
canada,2019,CPC,34.40788799986406
canada,2019,GPC,6.497170751644582
canada,2019,LPC,33.06798602860192
canada,2019,NDP,15.926059000582663
canada,2019,OTHER,2.4088073826076575
australia,1949,ALP (2PP),49.0
australia,1949,L/NP (2PP),51.0
australia,1951,ALP (2PP),49.3
australia,1951,L/NP (2PP),50.7
australia,1954,ALP (2PP),50.7
australia,1954,L/NP (2PP),49.3
australia,1955,ALP (2PP),45.8
australia,1955,L/NP (2PP),54.2
australia,1958,ALP (2PP),45.9
australia,1958,L/NP (2PP),54.1
australia,1961,ALP (2PP),50.5
australia,1961,L/NP (2PP),49.5
australia,1963,ALP (2PP),47.4
australia,1963,L/NP (2PP),52.6
australia,1966,ALP (2PP),43.1
australia,1966,L/NP (2PP),56.9
australia,1969,ALP (2PP),50.2
australia,1969,L/NP (2PP),49.8
australia,1972,ALP (2PP),52.7
australia,1972,L/NP (2PP),47.3
australia,1974,ALP (2PP),51.7
australia,1974,L/NP (2PP),48.3
australia,1975,ALP (2PP),44.3
australia,1975,L/NP (2PP),55.7
australia,1977,ALP (2PP),45.4
australia,1977,L/NP (2PP),54.6
australia,1980,ALP (2PP),49.6
australia,1980,L/NP (2PP),50.4
australia,1983,ALP (2PP),53.23
australia,1983,L/NP (2PP),46.77
australia,1984,ALP (2PP),51.77
australia,1984,L/NP (2PP),48.23
australia,1987,ALP (2PP),50.83
australia,1987,L/NP (2PP),49.17
australia,1990,ALP (2PP),49.9
australia,1990,L/NP (2PP),50.1
australia,1993,ALP (2PP),51.44
australia,1993,L/NP (2PP),48.56
australia,1996,ALP (2PP),46.37
australia,1996,L/NP (2PP),53.63
australia,1998,ALP (2PP),50.98
australia,1998,L/NP (2PP),49.02
australia,2001,ALP (2PP),49.05
australia,2001,L/NP (2PP),50.95
australia,2004,ALP (2PP),47.26
australia,2004,L/NP (2PP),52.74
australia,2007,ALP (2PP),52.7
australia,2007,L/NP (2PP),47.3
australia,2010,ALP (2PP),50.12
australia,2010,L/NP (2PP),49.88
australia,2013,ALP (2PP),46.51
australia,2013,L/NP (2PP),53.49
australia,2016,ALP (2PP),49.64
australia,2016,L/NP (2PP),50.36
australia,2019,ALP (2PP),48.47
australia,2019,L/NP (2PP),51.53
australia,2022,ALP (2PP),52.13
australia,2022,L/NP (2PP),47.87
us,2000,DEM,48.20364535317434
us,2000,OTHER,3.902036100349978
us,2000,REP,47.89431854647568
us,2004,DEM,48.254816742876876
us,2004,OTHER,1.0632176359943877
us,2004,REP,50.68196562112873
us,2008,DEM,52.863716412692916
us,2008,OTHER,1.5024316640661464
us,2008,REP,45.63385192324093
us,2012,DEM,50.999088218498464
us,2012,OTHER,1.8010572305364625
us,2012,REP,47.19985455096508
us,2016,DEM,48.07891285830436
us,2016,OTHER,5.8572422627688105
us,2016,REP,46.06384487892683
us,2020,DEM,6.273609041595615e-06
us,2020,OTHER,53.15174574809127
us,2020,REP,46.84824797829968
us,2024,OTHER,50.375959582040984
us,2024,REP,49.624040417959016
