country,election_year,source_table,scope_status,override_status,effective_scope_status,effective_scope_reason,evidence,poll_party_rows
uk,2010,uk_2010_table21.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,16
uk,2010,uk_2010_table22.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,20
uk,2010,uk_2010_table24.csv,review,,review,no usable current-cycle election marker,,11
uk,2010,uk_2010_table3.csv,review,,review,no usable current-cycle election marker,,312
uk,2010,uk_2010_table4.csv,review,,review,no usable current-cycle election marker,,270
uk,2010,uk_2010_table5.csv,review,,review,no usable current-cycle election marker,,204
uk,2010,uk_2010_table6.csv,review,,review,no usable current-cycle election marker,,105
uk,2010,uk_2010_table9.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,146
uk,2015,uk_2015_table3.csv,review,,review,no usable current-cycle election marker,,2395
uk,2015,uk_2015_table4.csv,review,,review,no usable current-cycle election marker,,2040
uk,2015,uk_2015_table5.csv,review,,review,no usable current-cycle election marker,,1680
uk,2015,uk_2015_table6.csv,review,,review,no usable current-cycle election marker,,1600
uk,2015,uk_2015_table7.csv,review,,review,no usable current-cycle election marker,,970
uk,2017,uk_2017_table10.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table11.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table12.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table13.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table14.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table15.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table16.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,45
uk,2017,uk_2017_table17.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table18.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2017,uk_2017_table19.csv,review,,review,marker comparison is inconclusive,,9
uk,2017,uk_2017_table2.csv,review,,review,no usable current-cycle election marker,,474
uk,2017,uk_2017_table20.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,14
uk,2017,uk_2017_table21.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,14
uk,2017,uk_2017_table22.csv,review,,review,marker comparison is inconclusive,,14
uk,2017,uk_2017_table23.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,11
uk,2017,uk_2017_table3.csv,review,,review,no usable current-cycle election marker,,258
uk,2017,uk_2017_table7.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,110
uk,2017,uk_2017_table8.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,101
uk,2017,uk_2017_table9.csv,review,,review,fewer than 2 marker parties matched national actuals,,25
uk,2019,uk_2019_table10.csv,review,,review,fewer than 2 marker parties matched national actuals,,24
uk,2019,uk_2019_table11.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,52
uk,2019,uk_2019_table12.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,27
uk,2019,uk_2019_table13.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,27
uk,2019,uk_2019_table14.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,27
uk,2019,uk_2019_table15.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,27
uk,2019,uk_2019_table16.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,27
uk,2019,uk_2019_table17.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,22
uk,2019,uk_2019_table18.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,19
uk,2019,uk_2019_table19.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,19
uk,2019,uk_2019_table21.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,14
uk,2019,uk_2019_table22.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,14
uk,2019,uk_2019_table23.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,11
uk,2019,uk_2019_table24.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,9
uk,2019,uk_2019_table25.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table26.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,14
uk,2019,uk_2019_table27.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table28.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table29.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,20
uk,2019,uk_2019_table3.csv,review,,review,no usable current-cycle election marker,,989
uk,2019,uk_2019_table30.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,25
uk,2019,uk_2019_table31.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,16
uk,2019,uk_2019_table32.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2019,uk_2019_table33.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,20
uk,2019,uk_2019_table34.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,9
uk,2019,uk_2019_table35.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table36.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table37.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,11
uk,2019,uk_2019_table38.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,9
uk,2019,uk_2019_table39.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,13
uk,2019,uk_2019_table4.csv,review,,review,no usable current-cycle election marker,,421
uk,2019,uk_2019_table40.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,8
uk,2019,uk_2019_table41.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table42.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,9
uk,2019,uk_2019_table43.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,15
uk,2019,uk_2019_table44.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table45.csv,review,,review,no usable current-cycle election marker,,12
uk,2019,uk_2019_table46.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,11
uk,2019,uk_2019_table47.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,12
uk,2019,uk_2019_table48.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,14
uk,2019,uk_2019_table49.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,13
uk,2019,uk_2019_table5.csv,review,,review,fewer than 2 marker parties matched national actuals,,115
uk,2019,uk_2019_table50.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,13
uk,2019,uk_2019_table8.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,196
uk,2019,uk_2019_table9.csv,rejected_marker_mismatch,,rejected_marker_mismatch,election marker materially differs from national actual results,,114
uk,2024,uk_2024_table10.csv,review,,review,no usable current-cycle election marker,,11
uk,2024,uk_2024_table11.csv,review,,review,no usable current-cycle election marker,,29
uk,2024,uk_2024_table12.csv,review,,review,no usable current-cycle election marker,,15
uk,2024,uk_2024_table14.csv,review,,review,fewer than 2 marker parties matched national actuals,,190
uk,2024,uk_2024_table2.csv,review,,review,fewer than 2 marker parties matched national actuals,,1711
